Country,1971-1975,1976-1980,1981-1984,1985-1988,1989-1992,1993-1996,1997-2000,2001-2004,2005-2008
Malta,,,181000000.0,213750000.0,266025000.0,374600000.0,515600000.0,588600000.0,646350000.0
Egypt,2231000000.0,3755000000.0,6288000000.0,10232000000.0,13570000000.0,16265000000.0,20797500000.0,28637500000.0,38652500000.0
Belarus,,,,,4213666666.67,4761750000.0,5581500000.0,5867000000.0,6008750000.0
Nepal,49410000.0,81014000.0,125255000.0,173750000.0,261775000.0,321100000.0,453350000.0,667850000.0,862650000.0
Pakistan,699520000.0,1486040000.0,3552250000.0,6407750000.0,10406500000.0,16137500000.0,20595000000.0,25075000000.0,32517500000.0
Côte d'Ivoire,118606000.0,308040000.0,514350000.0,493100000.0,541100000.0,603600000.0,906200000.0,942400000.0,1147550000.0
Slovenia,,,,,2354666666.67,2564250000.0,2590250000.0,2850250000.0,3053250000.0
El Salvador,306260000.0,458100000.0,420350000.0,533100000.0,682100000.0,953600000.0,1257250000.0,1445000000.0,1638000000.0
Costa Rica,772920000.0,1053480000.0,1457500000.0,1914000000.0,1575500000.0,1930000000.0,2321750000.0,2787500000.0,3219750000.0
United States,560520000000.0,665420000000.0,745250000000.0,838475000000.0,930400000000.0,1032500000000.0,1135500000000.0,1259000000000.0,1370750000000.0
Portugal,1699400000.0,2813800000.0,3757500000.0,4790750000.0,6247500000.0,7706250000.0,9199000000.0,11570000000.0,13492500000.0
Trinidad and Tobago,197200000.0,369280000.0,693350000.0,831400000.0,858450000.0,967100000.0,1124750000.0,1392000000.0,1987250000.0
Brazil,11066800000.0,19052000000.0,28202500000.0,36832500000.0,48832500000.0,60565000000.0,79572500000.0,75325000000.0,88885000000.0
Panama,319480000.0,422300000.0,506100000.0,621350000.0,660100000.0,812650000.0,1025550000.0,1300250000.0,1568250000.0
Sweden,15294000000.0,22796000000.0,30417500000.0,39732500000.0,39380000000.0,42522500000.0,41820000000.0,41765000000.0,40690000000.0
Azerbaijan,,,,,,1700000000.0,7356025000.0,11142500000.0,10210250000.0
China,5751000000.0,8854200000.0,13372500000.0,15675000000.0,47245000000.0,93582500000.0,143275000000.0,213625000000.0,352425000000.0
Bangladesh,146400000.0,189600000.0,415850000.0,794150000.0,1428000000.0,2798250000.0,4402750000.0,7058000000.0,9429500000.0
Romania,3112200000.0,4941000000.0,4991000000.0,4774750000.0,5999250000.0,7227750000.0,7850500000.0,7946250000.0,10006500000.0
Honduras,164200000.0,266440000.0,269300000.0,361850000.0,510100000.0,722875000.0,1149050000.0,1531000000.0,1940500000.0
Poland,5619000000.0,9250800000.0,12722500000.0,16370000000.0,19545000000.0,18432500000.0,20482500000.0,23345000000.0,26305000000.0
Yemen,,98020000.0,149750000.0,301575000.0,662100000.0,1071050000.0,1354750000.0,1852500000.0,2549750000.0
Paraguay,116208000.0,249420000.0,467350000.0,682600000.0,1056100000.0,1985500000.0,2669750000.0,2744250000.0,3377250000.0
