Country,1990-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2022
Mexico,165522400000.0,408536500000.0,722338500000.0,,2371607825001.97,3002072455450.44,4082774137959.3,4932225196314.73
Palau,,,,,37162117.76,49431772.16,75288098.53,65918558.5
Liberia,,,,,,,,
Netherlands,124832214765.1,138897750000.0,173874500000.0,201167750000.0,240291500000.0,254118000000.0,283369250000.0,339411250000.0
Cabo Verde,,,,22079133375.0,28583691338.39,30793678967.75,40059831410.94,43024212771.5
Sudan,,1621430000.0,2155620000.0,,19400700000.0,31457675000.0,54463100000.0,
Sri Lanka,87658600000.0,155537500000.0,225311750000.0,361028250000.0,684172124390.93,1075114266306.42,1722985051324.31,1673778352296.32
Eswatini,,,2533553250.0,4777128497.25,7288242250.0,10567563483.12,14914001182.66,17873910361.88
Marshall Islands,,,,,31813510.0,38922503.5,66397663.5,76090464.81
Barbados,,,,2037113369.17,2512020202.2,2407257014.75,2691120217.0,
Azerbaijan,95940800.0,461365700.0,663394400.0,,18077233333.33,23333975000.0,23982666500.0,31510450666.67
Austria,52883585386.95,81467897500.0,96321990000.0,108562295000.0,126456890000.0,142525570000.0,160114720000.0,180607517500.0
Guatemala,4766636000.0,9254560000.0,16774672500.0,24382877500.0,34635468867.8,47772569237.2,60799276501.0,79129692135.32
Belarus,211346.67,10403987.5,383078737.5,1946631660.0,4694371085.08,16571913655.0,30764137299.97,45166357468.4
Argentina,25832120000.0,38159075000.0,40243600000.0,91453465841.69,245797925000.0,685885240000.0,1934869700000.0,7991833070225.49
"Iran, Islamic Republic of",16031400000000.0,58993750000000.0,162582221711875.0,516541092750000.0,998094125398567.6,,,
Brazil,,,,,1126757179892.27,1452816766582.7,1862086768742.18,2389400409118.09
Malawi,,,,,154908888571.0,289820784670.05,738588319716.85,1263822975489.57
South Africa,93729800000.0,169361261500.0,263665025000.0,440758675000.0,704916314298.61,1016007394859.93,1420587035916.56,1764427941178.5
Malta,1675260605.77,2587060330.77,3393023526.67,4457488935.48,3106779827.63,2953525000.0,4233375000.0,5233075000.0
"Micronesia, Federated States of",,,,,35408576.0,58234779.0,118674842.5,134411612.0
Cambodia,,,1727644810000.0,2314390973063.5,4810742211286.25,8196969035887.75,15695188167946.0,22083507909588.66
Paraguay,,,,10384350000000.0,15629968805444.6,25741091672773.25,36353780183697.75,44583172401078.5
