Country,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2021,2022-2022
Burundi,99.9,100.0,99.95,100.0,100.0,100.0,,100.0,100.0,100.0,100.0
Bosnia and Herzegovina,7.5,4.7,5.75,5.35,4.6,4.25,4.25,3.75,3.4,3.1,2.9
Tunisia,27.45,22.3,,9.1,8.35,7.5,4.6,4.55,8.65,8.5,8.3
United States,0.45,0.5,0.4,0.35,0.4,0.45,0.4,0.4,0.35,0.2,0.2
Angola,65.05,63.4,55.5,53.1,52.25,49.75,42.4,45.9,54.25,55.7,54.2
Norway,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Germany,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Australia,0.1,0.1,0.2,0.05,0.1,0.1,0.1,0.1,0.05,0.1,
Ghana,69.15,62.6,51.2,42.8,37.55,28.3,39.6,37.9,28.9,22.6,25.6
Togo,80.9,83.8,83.05,81.25,79.0,78.45,76.65,75.75,74.8,71.8,73.0
Greece,0.25,0.3,0.2,0.2,0.55,0.7,0.65,0.3,0.3,0.3,0.3
Benin,67.4,67.5,66.65,66.3,66.1,65.8,66.05,65.0,63.9,,
"Venezuela, Bolivarian Republic of",22.25,18.45,12.45,13.15,12.4,11.8,12.95,13.9,14.2,14.6,15.2
Israel,2.1,2.25,1.8,2.3,1.8,1.25,1.0,0.75,1.55,1.3,1.2
Nepal,96.35,96.2,95.15,95.55,96.75,96.2,94.8,93.9,90.95,88.6,86.6
Belarus,17.4,11.3,6.4,4.2,2.4,1.35,0.95,0.7,0.45,0.3,0.9
Iraq,40.2,37.1,32.2,,19.3,20.1,23.0,21.0,,,
Namibia,45.0,,,36.9,35.7,33.45,28.6,28.3,29.55,28.8,26.9
Austria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Niger,98.8,96.8,98.55,98.4,98.8,98.4,98.2,96.35,,,
Jamaica,,,8.2,7.2,6.9,15.1,13.55,7.05,6.75,6.5,6.1
Russian Federation,16.6,13.35,10.45,8.4,7.3,6.6,5.55,5.2,4.3,,
Côte d'Ivoire,100.0,100.0,100.0,100.0,100.0,100.0,99.9,99.95,99.75,100.0,100.0
Malaysia,25.65,21.25,20.05,17.7,14.15,13.85,8.4,7.4,,,
France,0.0,0.0,0.05,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.2
