Country,1992-1994,1995-1997,1998-2000,2001-2003,2004-2006,2007-2009,2010-2012,2013-2015,2016-2017,2018-2019,2020-2021,2022-2023
"Moldova, Republic of",,-0.08,3.01,11.58,11.62,5.4,6.37,1.52,1.21,3.04,2.31,-1.51
Mongolia,,,,,,,5.22,6.93,5.44,,,
Italy,3.02,3.64,3.29,3.38,3.0,3.06,2.68,4.27,3.5,2.61,2.52,1.35
Namibia,5.97,4.33,4.57,4.09,3.69,3.77,3.16,2.86,2.46,2.2,2.46,2.27
Rwanda,,,5.31,6.39,3.47,15.92,9.37,11.75,10.76,11.58,10.32,9.12
Angola,,,,,25.97,,12.25,11.51,0.07,6.88,1.6,8.09
Lebanon,12.29,7.39,7.44,6.22,5.34,4.82,3.59,2.8,3.88,5.36,,
United States,2.88,3.31,3.42,3.21,3.08,3.45,3.16,3.2,3.18,3.09,3.18,
Egypt,,4.68,4.18,5.36,3.7,3.21,-0.4,0.36,-0.96,-0.62,-2.52,-4.88
Gambia,8.74,9.47,10.65,7.44,11.26,13.6,15.19,,18.28,19.27,17.98,
Solomon Islands,,,,3.23,4.45,5.27,10.41,10.35,9.94,10.19,7.44,
Seychelles,2.62,4.18,6.03,5.74,6.53,4.7,6.02,6.55,6.35,7.1,6.16,7.97
Mauritania,12.73,12.73,12.36,14.62,12.98,10.08,14.16,13.76,12.5,,,
"Tanzania, United Republic of",-3.66,10.94,11.57,12.33,4.8,5.81,6.12,2.52,3.23,10.13,12.26,
Algeria,,,0.89,5.27,6.75,7.33,7.66,7.66,6.53,5.37,5.0,5.01
Malaysia,3.71,3.66,5.04,3.88,3.46,2.9,2.05,1.52,1.77,,,
Nigeria,7.21,7.04,4.72,5.87,7.66,10.75,7.74,6.44,5.43,6.28,10.66,9.02
Philippines,2.68,2.94,1.52,3.3,3.77,4.42,4.55,4.54,3.82,2.64,,
Yemen,,6.4,4.83,5.16,3.37,3.16,2.46,5.43,,,,
Mozambique,,,8.5,1.5,7.86,4.66,6.56,9.89,4.25,6.49,6.54,5.24
Canada,1.11,1.77,1.79,1.83,1.75,2.11,2.04,2.13,2.19,,,
Tajikistan,,,,9.71,,15.62,16.0,24.24,26.3,,,
Guinea,,,8.66,,,,,,,,,
