Country,1990-1992,1993-1995,1996-1997,1998-1999,2000-2001,2003-2004
Guatemala,25.4,26.43,26.1,32.75,34.5,
Brazil,8.97,9.77,9.2,7.6,5.5,
Singapore,97.1,97.23,97.3,100.0,100.0,100.0
Bahrain,76.5,,76.15,77.15,76.45,79.44
Djibouti,,,,,45.0,
Cuba,51.53,54.7,52.45,49.0,49.0,
Kazakhstan,64.8,73.4,81.65,86.5,,93.7
Oman,21.27,20.53,30.0,30.0,28.83,34.97
Yemen,9.2,8.5,8.1,,,
Senegal,27.77,28.4,29.3,29.3,29.3,29.26
Mali,11.1,11.77,12.1,12.1,12.1,18.0
Saint Kitts and Nevis,39.27,41.67,42.5,42.5,,
Japan,70.13,72.9,74.6,76.05,76.85,78.22
United States,,,,,,65.35
Niger,29.0,,,,25.66,22.7
Congo,9.7,9.7,9.7,9.7,9.7,5.0
Denmark,100.0,100.0,100.0,100.0,100.0,100.0
Armenia,97.5,96.8,96.75,96.8,,90.7
Monaco,100.0,100.0,100.0,100.0,100.0,
