Country,1996-2000,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Cabo Verde,3.0,5.67,8.67,9.33,11.33,10.0,9.0,9.0
Nicaragua,7.67,11.33,15.33,16.67,17.33,14.33,13.67,11.67
Gabon,6.33,7.33,8.67,9.0,10.67,10.33,11.0,9.67
Uruguay,7.33,9.67,12.33,13.33,14.67,13.67,13.0,11.33
Libya,6.0,7.67,9.33,11.0,12.0,9.33,8.0,7.0
Vanuatu,2.0,2.33,5.33,6.67,6.0,5.33,5.33,6.0
Brazil,9.33,11.33,14.67,16.67,17.33,14.67,14.0,12.33
Kyrgyzstan,5.33,8.33,14.0,15.0,15.0,13.33,12.0,12.0
Poland,9.67,12.0,13.33,15.33,16.67,14.33,13.0,12.0
Montenegro,1.0,1.67,6.0,11.33,11.0,10.0,9.0,8.33
Saudi Arabia,6.33,8.33,9.67,11.67,11.67,9.33,9.67,9.0
Cameroon,6.33,9.0,13.67,15.0,17.0,15.67,15.0,14.0
Tonga,1.0,1.33,4.0,6.0,7.0,5.33,5.0,4.33
Austria,8.33,9.0,9.67,11.0,13.0,11.67,11.0,10.0
Papua New Guinea,6.0,6.33,9.67,11.0,11.0,9.67,9.0,9.0
Eswatini,4.0,4.67,6.67,8.33,11.0,8.67,7.67,8.0
Italy,8.33,9.0,10.67,12.67,14.67,11.67,11.0,10.0
Jordan,7.0,9.67,13.67,15.0,15.33,12.67,12.0,10.33
Iceland,7.0,7.0,7.67,9.33,10.67,9.67,8.67,8.0
Liechtenstein,2.0,2.0,2.0,2.67,3.0,2.0,2.0,2.0
Thailand,8.33,10.67,13.67,14.67,15.0,12.67,11.0,10.0
Morocco,6.33,10.0,12.33,14.0,15.67,13.0,13.0,11.67
Bermuda,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Virgin Islands, U.S.",,1.0,1.0,1.0,1.0,1.0,1.0,1.0
