Country,1960-1970,1971-1981,1982-1992,1993-2003,2004-2013,2014-2023
Lithuania,1644478.45,1434049.18,1225722.36,1167883.91,1050943.5,914931.7
Japan,31545293.18,27765859.36,28038281.91,26345739.55,14162120.1,10534730.1
Comoros,180327.55,227578.09,292667.55,370694.64,459341.3,555112.0
North Macedonia,922856.82,879120.64,873841.18,825228.36,840287.6,783392.2
Namibia,529770.18,678391.45,877927.09,1182307.73,1231281.4,1198177.1
Slovakia,2734444.18,2518530.0,2341254.27,2346197.82,2426638.2,2510005.3
"Virgin Islands, U.S.",16348.36,21355.91,14641.36,9057.27,6171.0,4531.5
Bahrain,33000.82,44348.73,58134.27,78147.73,124858.2,153274.5
Turks and Caicos Islands,2856.82,3105.36,3194.45,2960.64,2911.9,2813.5
Finland,1836336.82,1480328.73,1127602.64,944526.0,869861.9,803568.1
Jamaica,1090618.45,1122308.64,1190580.73,1249256.82,1264429.9,1240108.9
Latvia,971097.27,867907.64,815718.0,763554.55,688445.5,611905.4
Fiji,314944.82,374167.09,446953.82,433838.64,434099.5,401081.8
Mozambique,6953435.0,8927331.0,10184087.09,12052595.45,15286288.0,19011441.9
Djibouti,48091.09,74195.82,116561.91,164704.55,205785.5,235227.6
Australia,1936051.91,2103028.73,2363344.27,2878303.0,3215799.7,3480663.7
Kiribati,42201.18,42247.27,46187.27,51550.09,56236.9,56313.7
South Sudan,2858102.82,3494269.82,4191397.64,4887228.09,7507143.0,8686724.6
