Country,1971-1975,1976-1980,1981-1985,1986-1990,1991-1995,1996-2000,2001-2005,2006-2010,2011-2014,2015-2018,2019-2022
Ukraine,99.64,99.76,102.83,112.85,114.7,111.44,110.85,101.82,96.96,88.01,91.43
Rwanda,56.46,60.34,70.39,72.98,73.99,85.21,120.64,146.37,138.52,132.07,133.69
Barbados,103.26,113.26,112.35,113.69,106.54,102.37,101.85,100.62,98.81,96.96,98.03
South Sudan,,,,,,,,,79.87,71.7,81.86
Maldives,,131.05,141.0,148.01,122.76,124.22,120.59,106.56,97.65,97.66,97.48
South Africa,103.19,87.77,85.77,97.4,102.23,95.1,94.76,104.37,108.85,106.53,99.7
Cayman Islands,102.79,106.77,100.81,,,107.1,102.64,101.79,103.32,101.29,91.09
"Korea, Democratic People's Republic of",,,,,,,,103.04,,93.15,
Angola,65.21,153.22,111.17,82.25,68.91,74.16,,109.35,126.25,109.24,
Turkmenistan,,,,,,,,,,,109.33
Saudi Arabia,,50.28,,,,,92.31,93.46,115.68,104.41,102.52
Canada,100.42,99.49,103.17,103.31,102.28,99.71,99.0,99.32,99.21,99.05,97.27
Benin,37.48,50.23,61.29,57.57,61.86,75.54,94.87,110.57,122.75,122.85,111.23
Cameroon,89.81,93.04,99.36,101.77,89.45,81.69,103.89,106.57,111.7,111.49,107.97
Slovenia,,,97.48,96.92,94.5,99.42,102.59,97.91,98.35,98.5,100.12
Armenia,,,,,97.08,108.99,93.23,102.23,98.32,101.78,95.16
El Salvador,87.81,97.32,89.42,102.51,93.53,99.02,113.64,114.32,108.34,98.8,88.68
Brunei Darussalam,125.15,121.18,114.87,118.98,100.1,99.49,105.02,106.54,103.24,100.81,97.57
Grenada,130.69,111.06,103.62,111.96,124.45,112.15,102.84,104.31,104.29,102.18,83.4
"Bolivia, Plurinational State of",90.92,97.63,102.1,103.34,104.04,112.19,116.89,110.3,98.72,96.7,98.85
Myanmar,85.29,87.74,99.01,103.4,115.76,104.21,101.84,107.18,113.22,118.95,
Italy,107.07,103.71,100.6,100.61,103.18,103.59,103.21,102.55,100.55,101.47,102.4
Norway,101.87,99.68,99.7,99.53,98.97,96.11,99.31,99.59,99.61,99.26,98.98
