Country,1971-1979,1980-1987,1988-1995,1996-2004,2005-2012,2013-2020
Libya,0.73,0.87,,1.03,1.07,
Dominican Republic,,,,1.05,1.0,0.99
Bangladesh,0.51,0.6,0.73,,1.07,1.12
Türkiye,0.68,0.77,0.79,0.82,0.93,0.98
"Palestine, State of",,,0.98,1.02,1.04,1.06
Italy,0.94,0.99,1.0,0.99,0.99,0.99
Uruguay,1.05,,1.07,1.06,1.04,1.05
Turks and Caicos Islands,1.0,,1.07,1.01,1.02,1.02
Guatemala,0.84,0.85,0.87,0.89,0.95,0.97
China,0.82,0.8,0.87,0.95,0.99,1.01
Central African Republic,0.49,0.55,0.6,0.67,0.71,0.75
Slovakia,,,1.03,1.01,1.0,1.01
Lebanon,0.81,0.95,,,,
Bahamas,,1.08,1.01,0.99,0.98,
United Arab Emirates,0.96,0.97,1.03,1.05,,0.98
Aruba,,,,0.99,1.0,
Lesotho,1.42,1.31,1.21,1.07,1.04,1.05
Yemen,,,,0.56,0.73,0.8
Vanuatu,0.9,0.92,0.93,0.97,0.98,1.01
Colombia,1.02,1.02,1.05,1.03,1.04,1.02
Cayman Islands,1.12,1.02,,0.98,0.98,1.0
Samoa,1.06,1.02,1.09,1.06,1.06,1.05
