Country,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017
Bangladesh,,,,91.51,,,
Cuba,98.44,97.73,96.45,97.92,98.21,94.5,95.15
Côte d'Ivoire,65.49,65.52,,61.21,69.65,79.21,88.23
New Zealand,,,,,97.35,97.31,98.09
Peru,96.16,97.56,,95.62,93.87,92.31,
Hong Kong,,,,,,,
Eswatini,,,,85.44,89.28,85.37,83.77
China,,,,,,,
French Polynesia,,,,,,,
Puerto Rico,,,,87.17,80.93,80.58,75.73
Colombia,93.18,92.86,,92.78,90.98,91.15,92.87
Botswana,84.26,86.67,86.7,84.79,87.1,87.22,
Liberia,54.03,,36.04,45.18,,39.41,44.12
Cyprus,94.9,96.01,,,97.33,96.68,96.76
Saudi Arabia,,,,94.74,97.14,,96.34
Norway,,99.55,98.55,99.02,99.3,99.86,
Georgia,,,,97.03,97.85,99.51,97.6
Saint Kitts and Nevis,,,,96.75,,,
Nicaragua,80.34,89.97,95.03,94.79,,,
