Country,1999-2000,2001-2002,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2021
Nicaragua,31.28,31.83,28.27,26.69,23.51,21.83,,,,,,
Uruguay,11.81,11.55,10.69,11.29,13.38,14.47,12.79,12.94,12.47,11.49,11.45,10.85
Mongolia,0.21,1.5,2.53,3.66,,7.0,,,,,9.47,
Chile,,48.21,51.19,52.92,55.34,57.44,59.67,60.71,61.51,61.9,62.46,62.71
Sweden,2.07,3.42,8.33,10.15,12.96,16.53,20.18,16.6,16.61,17.88,19.08,19.34
Madagascar,,,,42.41,40.68,40.3,36.13,40.15,40.97,42.58,43.1,
Egypt,,,5.75,,,,,6.98,7.26,7.61,8.74,9.29
Germany,6.62,6.93,7.36,7.96,8.5,8.44,8.78,9.08,9.37,9.58,9.81,9.97
Albania,,,,4.59,5.74,5.98,6.94,8.02,,8.79,9.7,10.17
Thailand,,10.22,10.41,14.2,17.98,15.88,16.3,13.9,10.59,10.6,11.71,
"Virgin Islands, British",1.72,2.82,3.85,10.24,12.44,16.8,16.7,17.76,17.83,18.05,23.12,22.88
Barbados,6.27,5.93,5.12,5.09,5.29,5.51,5.32,6.29,6.41,6.66,7.27,6.6
Georgia,,2.34,2.97,4.01,5.09,6.41,,10.68,10.18,10.05,10.77,10.33
North Macedonia,,0.45,0.5,0.6,0.56,0.83,1.06,0.95,1.29,0.76,1.61,1.4
Uganda,,,44.58,,,,,,,,,
Tonga,72.83,,,,63.9,64.22,65.25,68.78,69.3,,69.27,
Turks and Caicos Islands,8.85,,13.63,17.72,,,,14.85,,22.5,29.11,35.24
Cabo Verde,0.0,0.0,0.0,6.91,13.18,12.95,13.64,10.11,8.2,7.61,7.46,7.1
Iceland,3.91,4.46,4.18,6.17,7.02,12.14,12.85,13.87,14.46,14.49,13.85,15.11
France,25.01,25.11,25.31,25.13,25.75,26.05,26.16,26.0,25.34,25.21,25.3,25.56
Luxembourg,17.69,17.85,18.15,18.53,18.13,17.72,18.03,17.94,18.4,18.65,19.54,19.77
Switzerland,7.78,7.4,6.98,7.08,7.26,7.35,10.14,12.06,12.04,12.04,11.91,11.72
"Congo, The Democratic Republic of the",,,,,,16.49,14.96,17.48,,,,19.8
Guinea,,,10.68,15.86,23.33,,26.25,39.3,,,,
Grenada,,55.15,59.66,,61.01,61.79,,62.21,64.45,63.43,,
Saint Vincent and the Grenadines,,,,24.61,25.84,25.78,25.59,27.27,27.59,28.07,,
