Country,1971-1974,1975-1978,1979-1982,1983-1986,1987-1990,1991-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018
Tonga,48.22,49.29,48.31,48.96,48.14,48.26,50.7,50.19,49.78,,50.13,49.81
United Kingdom,48.61,48.83,49.09,49.12,49.03,49.09,49.21,49.24,49.38,49.3,49.36,49.36
Saint Kitts and Nevis,,50.83,50.01,49.13,51.32,50.77,,50.75,51.76,50.24,51.17,51.07
Denmark,50.61,50.91,51.04,51.26,51.28,51.49,51.52,51.76,51.49,51.21,50.82,50.99
Cameroon,28.48,31.71,33.99,36.39,39.4,41.02,42.72,46.48,45.2,45.55,48.02,48.37
Central African Republic,15.55,17.5,23.49,25.28,27.88,28.86,,34.3,36.74,36.37,34.98,39.57
Guinea-Bissau,37.36,27.04,19.37,21.4,30.1,,,35.83,,40.47,,
Ethiopia,25.52,31.16,35.58,37.09,39.91,45.22,43.17,39.6,36.6,42.33,47.14,47.53
Burundi,18.03,26.81,26.81,27.66,34.97,37.68,,43.62,42.58,41.86,44.67,50.9
Dominica,57.01,57.39,56.1,54.93,52.87,51.78,51.35,56.12,49.92,49.72,49.29,49.8
Bahamas,,51.29,51.38,52.47,51.26,49.59,52.13,50.23,49.71,50.35,50.89,50.85
"Micronesia, Federated States of",43.45,45.7,46.52,,,,,,,48.86,49.59,49.29
Bulgaria,51.31,51.55,51.75,51.85,52.06,52.65,52.7,51.95,51.74,51.52,50.8,50.47
Belgium,46.86,47.12,,50.66,50.75,51.19,50.3,51.0,51.35,51.19,51.87,52.71
Saudi Arabia,,,34.93,,,,,,49.31,48.02,46.64,47.78
Sao Tome and Principe,46.47,46.37,45.1,45.08,46.84,,,,51.92,51.53,52.77,52.85
Kiribati,43.28,48.89,51.88,51.02,51.56,52.91,53.15,53.75,52.6,51.93,55.43,54.68
"Moldova, Republic of",,,51.0,51.0,51.0,51.0,50.65,50.62,50.78,50.69,50.35,49.92
Germany,,,,,,49.62,49.62,49.73,49.79,49.81,49.56,49.41
Côte d'Ivoire,22.45,24.99,27.83,28.76,30.7,32.71,33.28,34.8,37.29,37.22,39.77,41.93
Montenegro,,,,,,,,,50.2,51.18,50.15,50.03
Grenada,55.8,54.65,56.79,54.42,52.17,53.8,,52.59,50.87,49.74,48.66,49.58
