Country,1971-1974,1975-1978,1979-1986,1987-1994,1999-2002,2003-2006,2007-2010,2011-2014,2015-2018,2019-2021
Tuvalu,,,,,,,,,156.33,72.67
Puerto Rico,10640.5,9531.0,,,,,26161.0,19718.0,13442.33,
Sint Maarten (Dutch part),,,,,,,,305.0,,
Libya,5929.5,12968.75,21549.0,,,,,,,
Zimbabwe,3302.0,3776.33,9745.0,23577.75,33027.0,33964.0,,42172.0,,
El Salvador,,,,,,17385.67,21073.33,24556.0,19285.01,
Seychelles,148.5,209.5,288.0,746.0,568.5,591.0,580.75,588.25,645.5,689.0
Zambia,,4197.0,5477.33,,,,,,,
Cuba,24251.25,51135.0,94694.67,94761.75,70410.5,84550.5,88559.75,92418.0,87093.75,82750.33
Croatia,,,,,35062.5,39256.33,45007.5,48048.25,51793.0,52891.33
"Virgin Islands, U.S.",498.5,582.75,683.0,711.25,,,,,,
Macao,696.5,686.0,716.0,,1561.0,2005.75,2259.0,2554.0,2690.5,2724.33
Eritrea,,,,1975.5,2646.5,3871.25,5703.33,6785.0,6739.75,7205.0
Sri Lanka,,,,101192.25,,,,149519.5,152555.33,155773.83
Kazakhstan,,,,,,,,,252231.75,247752.0
Tajikistan,,,,,48874.75,59326.25,60637.75,67698.0,,
Central African Republic,525.5,645.0,782.0,923.0,,,1409.5,1867.0,3895.0,
Côte d'Ivoire,3279.0,,,,20124.0,,,63602.0,71260.67,85048.33
