Country,1977-1986,1987-1996,1997-2005,2006-2014,2015-2023
Belize,2483333.33,2830600.0,7945570.32,21462969.29,40696820.24
Burkina Faso,,,71352116.28,107793689.3,217640641.93
India,13153590.24,21398919.83,330974870.85,2488730450.1,6704016104.46
New Caledonia,,,43990590.83,99383103.73,111829726.21
South Sudan,,,,121487119.17,118920000.0
Cabo Verde,922434.96,2298683.35,16434558.79,66651574.78,41249569.54
Bulgaria,22714285.71,111620000.0,84475372.82,171537282.91,589011111.11
Namibia,,9049992.56,4584923.03,57851612.92,54159980.25
Guyana,3840067.75,7184000.0,65532333.33,199379369.06,263940240.9
Paraguay,1070000.0,200000.0,,79967794.58,97500543.79
Botswana,17964885.66,72278027.82,62406804.52,67764622.96,135001230.73
Tunisia,14057863.11,12671334.76,23465617.1,35666084.67,154470400.79
Bahrain,137362117.41,355851077.69,979187490.32,1830623484.63,2669296690.31
Malta,5661231.53,10779242.4,133871264.74,1025581580.56,421101163.66
Kenya,21052810.62,43332109.75,28281636.65,45964969.32,14407692.29
Albania,,13020000.0,97596859.23,189438389.0,157030210.06
Chile,40480000.0,117150000.0,293022081.72,1479848488.74,4023197283.72
