Country,1977-1982,1983-1988,1989-1993,1994-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2023
Lao People's Democratic Republic,,20980000.0,43020000.0,169800000.0,173441477.82,257240343.85,577262227.93,841858352.67,514214419.56
Grenada,17958641.98,36249382.72,70798518.52,106663703.7,150995194.43,214741586.42,341087980.3,499538344.34,589371535.85
Trinidad and Tobago,356083333.48,254271825.87,364170666.68,469724985.6,614000012.03,884560000.0,1054780496.33,1047902260.03,648807083.89
Morocco,708371182.6,1155617584.72,2052995190.49,3113764488.62,5002947007.53,11604407387.21,15033423319.55,16442801359.72,17654177338.23
Zambia,130820000.0,65833333.33,91666666.67,107150000.0,129194000.0,526723808.94,702584241.44,883125271.02,757976353.35
Nicaragua,57316666.67,38366666.67,67680000.0,182947701.2,330304400.0,551480000.0,946680000.0,1352520000.0,1296824228.37
Mauritania,42250952.03,29814123.81,26623348.03,30864988.63,,,165704660.64,225773966.06,243145488.33
"Iran, Islamic Republic of",1696500000.0,350333333.33,638600000.0,975200000.0,1299000000.0,,,,
Sao Tome and Principe,1940270.87,2091923.15,4071878.2,6831777.15,10328763.74,8713036.17,19251848.11,78048771.49,56108107.08
Sierra Leone,28489741.8,32575931.5,54023239.7,60163161.56,44191689.23,56393517.65,142629905.14,127449342.11,58974503.88
Togo,61353713.25,93664686.81,121479502.88,87790698.8,77527567.19,209738138.11,413695394.6,542202558.45,562071666.87
Hungary,633023528.19,760332699.05,2588386516.21,6536494677.55,8578843317.26,15504256222.31,20884537086.07,25709449288.43,29445213535.53
Bahamas,681250000.0,1118950000.0,1435400000.0,1551400000.0,1938934435.6,2464865715.57,2540131120.0,3264470182.83,3080753064.02
Myanmar,52082928.7,62685760.72,113000772.42,441441230.0,556518078.35,307369646.1,1090799667.51,3823077312.56,6682540983.25
Norway,7172327739.87,8013292005.1,12374067367.1,14594369967.2,18922220911.74,33578485662.14,42589552801.35,43294781366.53,44518486099.09
Croatia,,,2285752941.24,3342730410.33,5399710354.31,10921807017.9,11668566238.77,13658264378.73,17778021654.48
Tajikistan,,,,,78757850.0,146712840.0,374747753.8,257587574.0,181717444.0
Barbados,268081009.75,448681931.7,645050566.63,882202636.8,1047129795.36,1340885682.83,1352205196.21,1438153146.27,
Marshall Islands,,,,,,9626449.68,10247164.67,20041074.29,8313073.87
Estonia,,,273374834.49,1127166840.56,1852989980.94,4149974631.7,5541598476.75,6780382745.38,9723165105.1
Mozambique,,,,,,437909412.48,532028246.16,664922309.26,934967012.27
Uruguay,370460000.0,370633333.33,670760000.0,1366360000.0,1040527829.8,1584092370.83,3798563206.26,5257495026.31,4948134773.08
