Country,1980-1983,1984-1987,1988-1991,1992-1995,1996-1999,2000-2003,2004-2007,2008-2011,2012-2014,2015-2017,2018-2020,2021-2023
Thailand,,,,2022388000000.0,2550483000000.0,3047445250000.0,4156471000000.0,5234762000000.0,6680021666666.67,8158531333333.33,9423023666666.67,9784013333333.33
United Arab Emirates,55290750000.0,57327000000.0,75081999975.0,105609500000.0,156336500000.0,199312000000.0,322806500000.0,499617180600.0,662995037200.0,787764943666.67,797082099766.67,840045399050.0
Latvia,,,,2201400000.0,3241278500.0,5093922750.0,10409216750.0,13219061750.0,14785459000.0,16725990333.33,19221173333.33,23367559666.67
Brazil,7.57,608.84,10927158.06,154946665950.0,590017146350.0,819963980900.0,1309850193275.0,2124000111550.0,3183130333266.67,3956483000133.33,4574824666633.33,5792072988766.67
nld_curacao,,,,,,2927321650.0,3306192050.0,3927462750.0,3990257200.0,3891109266.67,3806284600.0,3847781850.0
Andorra,,,,,,1362522500.0,1957530000.0,2033502500.0,1903213333.33,2029966666.67,2107456666.67,2483633333.33
Malawi,698234906.18,1125232415.43,2090903845.28,7615928525.0,37303759650.0,137035057025.0,347938802300.0,726443842700.0,1550500200066.67,2994001368000.0,4331759000000.0,6959547666666.67
Croatia,,,,7926528600.0,10687932775.0,14988999575.0,21652966850.0,26704302525.0,26634820166.67,28320890566.67,31262928266.67,40924048266.67
Puerto Rico,9147800000.0,12234525000.0,16808825000.0,21290375000.0,28922100000.0,35048600000.0,44185402150.0,48396650000.0,50223933333.33,50015390837.98,50308366666.67,56043700000.0
Montenegro,,,,,,746957250.0,1174072500.0,1811110750.0,1983816000.0,2381503000.0,2697970666.67,3628467333.33
Gabon,384500000000.0,459770000125.0,702940250325.0,824121145000.0,1222100000000.0,1413598750000.0,1629446000000.0,2125584250000.0,2639033333333.33,3495062678200.0,3937070197866.67,4409197710866.67
Mexico,6054922937.5,52258133500.0,391093260262.5,1046637348875.0,2653665540500.0,4516915580000.0,6306864535250.0,8269258855750.0,10385704399000.0,12494681718333.34,14495133746000.0,17034728094000.0
Yemen,,,53168496598.58,132866620275.0,328932806100.0,645630591375.0,1168905266800.0,2012086723325.0,3321297153833.33,4141187308033.33,4841282972200.0,
"Moldova, Republic of",,,,2147704000.0,4097733500.0,10055917250.0,22106995750.0,42940401375.0,62839310166.67,85758135000.0,107596909333.33,158616241966.67
Malta,372732500.0,443774050.0,659951125.0,1197031600.0,2145300000.0,2735963789.13,3454410663.72,4514012018.27,5855906661.64,8224131958.3,10376398974.42,13729130678.25
Ghana,,15588275.0,61568600.0,142218950.0,441063475.0,1310737500.0,6178825650.0,20271117550.0,48576815400.0,95021658633.33,157615163633.33,276459853000.0
Seychelles,579737441.64,734598551.89,971059613.58,1242274125.0,1592146125.0,1487475900.0,3475649250.0,6997344450.0,10266945600.0,14323632466.67,17615534366.67,19761454533.33
Italy,,,460975219000.0,552449813500.0,688066500000.0,842302925000.0,984268125000.0,1067829625000.0,1082166300000.0,1130831133333.33,1158946666666.67,1266110066666.67
Zambia,1280500.0,4188350.0,28532325.0,673054525.0,2741741825.0,8362991475.0,20314420825.0,45390236250.0,79878706266.67,116155701366.67,163982375560.87,270782824966.67
"Korea, Republic of",23171800000000.0,43434325000000.0,87424300000000.0,171954450000000.0,276950750000000.0,395863900000000.0,537110675000000.0,701499650000000.0,830487833333333.5,963993866666666.5,1088373200000000.0,1247695633333333.2
Panama,3544692525.0,4287389300.0,4330251325.0,6012631200.0,7522117700.0,9085523500.0,12753437075.0,21123725000.0,31037666666.67,37806668433.33,43748716318.5,51554182196.78
Canada,,,,,599475666666.67,733893250000.0,912386750000.0,1083745250000.0,1241680333333.33,1382290666666.67,1535036333333.33,
Libya,,,,,,,19012800000.0,29002050000.0,47149566666.67,54245266666.67,60340689166.67,94670403700.0
"Micronesia, Federated States of",,,,144986600.0,139256200.0,154466175.0,163925325.0,176260875.0,193758466.67,203973700.0,257346700.0,284892866.67
