Country,1991-1994,1995-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Latvia,,15058.36,17218.43,20496.74,25165.43,26174.62,26975.9,28723.56,29958.22,31526.17
Dominican Republic,10469.79,11174.45,11321.63,11422.48,12482.12,13054.79,13177.28,13972.47,14727.91,15048.55
Luxembourg,,200179.84,217275.0,224820.53,233247.75,224539.96,211560.58,208103.25,205285.73,200484.41
Samoa,,,11852.39,13628.75,14683.84,15453.2,15858.84,15453.53,16248.83,15050.52
Ethiopia,882.84,987.87,1123.79,1332.11,1627.58,1993.73,2243.61,2383.48,2432.52,2487.39
Romania,,14967.03,15688.46,17567.66,20751.93,21677.36,23587.91,24448.26,27052.74,31613.64
Belize,20314.57,19873.24,19545.05,18805.67,17514.55,15283.27,14189.01,13995.54,13136.56,13276.06
Belgium,,82993.07,82954.34,86720.08,88689.99,88290.17,88476.02,90246.94,89580.74,88225.5
South Africa,15957.98,16432.3,17127.97,17978.57,19171.95,19490.58,19905.28,19872.54,20316.32,22104.74
Uruguay,7075.17,15168.78,23841.55,21602.66,21890.75,24860.04,27641.08,29923.25,31433.09,30866.31
Slovakia,,25792.86,27530.7,28418.62,30528.71,33726.69,35431.38,34200.05,35591.01,37911.15
Ecuador,11473.74,11100.86,10682.96,10782.4,10742.81,12025.03,13618.49,14150.49,14373.57,14868.87
Papua New Guinea,,,,,4237.45,4868.9,5668.95,5413.48,5256.88,5310.81
Argentina,21960.6,23838.75,22792.06,20318.53,22955.46,25058.83,26628.56,26448.92,25465.12,23241.72
Sao Tome and Principe,,,5036.95,5360.23,5424.94,5310.84,5380.55,5897.94,5908.03,5818.44
Sudan,9294.03,8419.62,7723.44,8221.39,9628.25,9850.67,7711.77,6712.61,5874.1,4891.49
Namibia,15437.41,13692.54,11403.97,11992.39,13108.6,14286.56,14437.67,15915.01,15018.61,13949.28
Equatorial Guinea,,,,,28387.34,36403.39,41888.34,39529.04,33972.53,31890.69
Kenya,,,,,3716.52,3783.46,3877.87,3997.48,4305.33,4547.48
Indonesia,3972.3,4389.3,3904.56,4505.93,5214.86,5658.28,6237.66,6842.76,7182.1,7525.29
Albania,,5935.11,7324.35,7926.53,9409.79,11113.67,11543.51,12138.73,11360.01,12233.11
