Country,1950-1968,1969-1987,1988-2006,2007-2025,2026-2044,2045-2063,2064-2082,2083-2100
Kuwait,180.89,150.62,152.09,150.66,124.74,117.23,111.74,111.73
"Bonaire, Sint Eustatius and Saba",82.67,98.91,103.18,109.14,102.83,102.59,102.93,103.26
Afghanistan,112.92,103.74,98.4,102.44,101.85,101.32,101.17,101.74
Gibraltar,95.74,113.44,107.1,102.47,105.4,105.88,106.61,106.78
Australia,106.14,104.31,101.17,100.89,102.46,103.08,103.03,103.11
France,102.05,103.21,100.24,98.9,95.39,92.98,92.34,91.71
Seychelles,99.53,106.77,106.26,119.26,111.93,99.23,98.5,98.17
Palau,95.68,114.6,128.38,119.24,109.25,106.54,105.78,106.24
Latvia,82.28,96.26,96.46,101.31,106.39,105.96,105.46,105.52
Anguilla,86.71,93.34,101.47,96.4,96.67,100.91,102.67,103.34
Namibia,93.8,93.7,94.45,95.17,95.68,97.51,98.08,98.22
Haiti,94.99,98.15,99.73,99.73,99.08,99.13,99.26,99.8
China,108.58,106.49,104.52,107.91,113.33,112.2,107.22,106.23
Hungary,94.67,99.61,100.91,103.54,104.8,104.85,105.24,105.35
Cyprus,94.12,101.32,106.59,104.81,106.57,103.95,104.15,104.15
Belarus,80.38,96.13,97.23,97.05,99.06,101.99,102.84,102.89
Honduras,100.27,101.75,101.48,102.69,103.76,103.93,104.11,104.49
Uganda,101.75,95.82,94.65,97.3,98.91,100.0,100.09,100.09
"Micronesia, Federated States of",106.11,104.29,102.03,103.4,104.48,105.4,107.0,108.36
Vanuatu,121.23,106.65,98.39,97.27,100.7,105.15,105.64,106.1
Saint Vincent and the Grenadines,85.78,106.4,107.52,104.81,103.11,102.71,102.9,103.42
Burundi,92.04,95.42,97.35,98.42,98.76,98.56,98.22,98.0
Lesotho,64.43,95.05,95.8,100.94,98.21,97.52,98.04,98.01
Austria,89.98,101.17,102.29,102.42,104.28,104.19,104.01,104.01
