Country,2008-2009,2010-2011,2012-2013,2014-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022
Viet Nam,7.71,5.89,8.24,8.65,8.98,9.23,7.9,11.52,12.46,13.66,9.78
Belarus,10.5,,,,8.53,7.6,6.9,8.07,7.76,6.09,5.17
New Caledonia,,,,11.48,,36.62,32.49,26.98,33.49,,22.88
Austria,12.39,12.58,11.94,12.8,12.6,13.19,12.01,12.72,14.21,14.07,14.06
Guinea,,,,,,,,24.84,,,
Congo,21.58,,,,,,,,,,
Afghanistan,,,,12.75,,18.64,,,32.16,19.51,
South Africa,,,27.75,26.86,26.61,26.11,26.94,28.71,28.18,28.83,31.31
Malaysia,,9.68,9.35,8.62,8.42,8.8,9.14,8.1,12.6,7.09,9.91
"Venezuela, Bolivarian Republic of",14.84,12.6,12.54,,13.55,15.11,,,44.04,,
Latvia,14.4,17.38,13.89,10.34,12.63,12.04,8.66,9.84,8.55,8.48,10.44
North Macedonia,27.2,25.42,24.47,24.47,24.18,24.14,23.55,17.68,19.74,18.76,18.13
Georgia,,,25.84,23.4,22.46,21.23,23.23,23.33,23.58,,
Croatia,12.38,17.45,19.27,21.21,19.05,15.44,13.18,11.44,12.19,12.15,12.17
Seychelles,,,,,,,,21.28,29.82,,
Guatemala,,9.12,7.81,7.41,8.35,7.09,8.81,9.51,,10.41,12.9
Tunisia,,19.42,,28.53,,,,26.99,,,25.38
Azerbaijan,7.11,6.96,,,,,,,,,
"Bolivia, Plurinational State of",3.65,4.12,3.77,5.27,4.7,5.01,4.11,4.32,9.43,6.94,5.66
