Country,1990-1994,1995-1999,2000-2004,2005-2009,2010-2014,2015-2018,2019-2022
China,,,,,29.51,32.96,38.49
Indonesia,1.99,3.2,3.47,,,,
South Africa,1.77,2.05,2.11,2.05,2.07,1.87,1.84
Gabon,,,,,0.59,1.61,1.5
Benin,,,,,,,
Ethiopia,1.93,0.85,,,,,
Israel,6.51,11.59,16.03,16.56,17.47,17.23,17.01
Papua New Guinea,0.44,0.31,0.16,,,,
United Kingdom,20.56,18.23,17.93,18.4,17.72,18.41,19.63
Cameroon,2.89,2.13,,,1.38,1.47,1.56
Greece,27.44,28.89,31.24,32.24,30.72,30.27,30.79
Madagascar,,,,,5.0,3.67,4.44
Japan,25.2,,,,,,
San Marino,,19.37,21.38,25.14,30.9,31.76,29.76
Angola,,0.0,0.01,2.0,2.33,5.07,4.66
Netherlands,37.24,38.11,36.31,34.31,37.28,36.75,33.8
Croatia,37.92,31.18,31.4,31.88,32.65,29.87,28.34
Zimbabwe,,,,0.09,0.09,2.52,
Mexico,14.14,12.26,10.48,10.6,11.36,11.15,12.29
Bahamas,,0.05,,,,,
Fiji,0.0,,,,,,
