Country,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019
Lithuania,8.0,7.5,7.0,6.5,6.5,5.5,4.0,4.0,4.0,4.0,4.0
Mali,12.0,12.0,10.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0
Trinidad and Tobago,,9.0,9.0,8.5,8.0,7.0,7.0,7.0,7.0,7.0,7.0
Brazil,,,,,,11.0,11.0,11.0,11.0,11.0,11.0
Saint Lucia,,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Lao People's Democratic Republic,10.0,10.5,11.0,11.0,9.5,9.0,10.0,10.0,10.0,10.0,9.0
Jamaica,7.0,6.0,6.0,6.0,6.0,3.5,2.0,2.0,2.0,2.0,2.0
Bahamas,,,7.0,7.0,7.0,7.0,8.0,8.0,7.0,7.0,7.0
Qatar,,,8.0,9.0,9.0,9.0,9.0,9.0,9.0,8.0,8.0
Malaysia,10.0,10.0,10.0,9.5,6.0,6.0,6.0,9.0,9.0,9.0,8.0
Saint Vincent and the Grenadines,,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Canada,3.0,3.0,2.5,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Marshall Islands,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Costa Rica,12.0,12.0,12.0,12.0,12.0,9.0,9.0,9.0,9.0,10.0,10.0
France,6.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
Yemen,12.0,12.0,9.5,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Poland,11.0,11.0,11.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0
Zimbabwe,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0
Mozambique,15.0,14.5,11.0,10.5,10.0,10.0,10.0,10.0,10.0,10.0,10.0
El Salvador,13.0,12.0,9.5,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
"Micronesia, Federated States of",7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
Puerto Rico,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0
Peru,11.0,11.0,11.0,9.5,8.0,8.0,8.0,8.0,8.0,8.0,8.0
South Sudan,,,,,13.0,13.0,13.0,13.0,12.0,12.0,12.0
Bhutan,10.0,10.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
