Country,1990-1992,1993-1995,1996-1998,1999-2001,2002-2004,2005-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017,2018-2019
Saint Vincent and the Grenadines,5.1,4.93,4.53,4.6,4.42,4.19,4.43,4.81,5.12,5.35,5.42,5.45
Namibia,12.62,13.82,15.44,17.67,18.27,17.45,17.31,17.66,18.26,19.16,20.07,20.84
Philippines,829.52,890.42,910.89,866.05,882.64,946.99,1013.55,1062.38,1121.34,1178.43,1243.78,1293.82
Belgium,845.76,760.54,668.78,592.17,530.34,496.57,513.7,529.71,540.86,534.74,532.79,542.06
Ethiopia,1319.25,1356.25,1348.87,1293.84,1195.59,1123.95,1068.92,1054.9,1061.74,1068.75,1132.26,1209.4
Botswana,25.06,27.55,28.11,32.2,35.04,33.25,35.82,38.3,40.25,42.3,43.56,45.18
Sao Tome and Principe,4.68,5.1,5.5,5.72,5.79,5.77,5.86,6.02,6.04,6.28,6.44,6.58
Solomon Islands,11.47,12.85,14.47,16.35,18.11,19.85,20.58,22.13,23.75,24.96,25.48,26.34
Barbados,19.99,18.64,18.71,20.32,20.89,19.73,19.52,19.92,20.06,20.88,21.5,22.1
Israel,223.27,259.16,276.27,277.4,272.76,273.05,269.63,272.56,270.1,272.12,279.35,293.88
Denmark,322.87,288.25,249.74,227.45,218.39,211.85,207.4,202.96,195.25,192.34,194.93,197.76
Sudan,590.89,624.86,654.22,683.56,727.06,763.67,796.16,824.02,853.2,882.82,919.8,964.03
Brunei Darussalam,12.12,12.1,12.12,11.41,11.03,11.08,11.06,11.54,12.22,13.06,13.97,14.88
Colombia,2172.16,2242.06,2170.03,2203.84,2326.04,2366.21,2395.26,2385.92,2400.56,2550.76,2677.66,2832.14
China,108752.66,110034.52,110668.57,122143.11,140816.71,139898.1,131235.36,127172.92,120175.45,116684.09,117922.16,121648.32
"Iran, Islamic Republic of",2018.7,2069.5,2115.48,2184.25,2286.34,2448.64,2660.72,2874.68,3124.94,3425.64,3635.65,3778.26
New Zealand,140.14,140.11,139.86,138.51,136.04,129.7,127.54,127.76,128.68,131.94,134.33,141.46
Argentina,1626.52,1603.59,1681.33,1718.4,1737.07,1718.42,1729.78,1773.86,1786.02,1800.7,1901.89,1908.81
Cambodia,308.77,323.0,330.57,333.98,337.41,344.37,354.43,370.02,385.6,402.48,424.44,449.09
Canada,982.72,1004.81,1005.66,994.71,1002.34,1034.25,1068.01,1073.76,1101.07,1135.57,1168.06,1241.55
