Country,1980-1986,1987-1993,1994-2000,2001-2007,2008-2014
North Macedonia,,5.28,4.44,3.7,3.08
Hungary,20.43,16.76,11.25,8.27,6.96
Italy,3.55,3.13,2.76,2.24,2.12
Austria,11.99,10.0,7.9,6.05,4.95
New Zealand,5.94,5.33,5.91,5.83,5.96
Montenegro,,,,8.16,9.19
Saint Lucia,2.88,4.24,,,
Puerto Rico,2.5,2.01,,,
Seychelles,2.22,,,,
Australia,5.37,4.84,4.89,4.47,4.87
Norway,6.75,7.12,5.88,5.9,5.83
Guadeloupe,,,,,2.71
Guatemala,0.27,,,,
Malta,0.53,1.97,1.82,2.12,1.5
Dominican Republic,1.55,,,,
Jamaica,0.3,,,,
Uruguay,3.26,3.76,,,
Netherlands,7.47,6.35,5.45,4.76,4.97
deu_east,,10.5,,,
Nicaragua,,,,,
Grenada,,1.32,,,
Canada,6.14,5.22,4.87,4.77,
Serbia,,,8.49,6.9,5.56
