Country,1990-1995,1996-2001,2002-2007,2008-2013,2014-2019
Hungary,4014.39,3227.97,2723.69,2390.86,2011.56
Netherlands,1885.64,1853.0,1853.88,1891.78,2029.12
Haiti,614.86,640.33,739.83,840.05,976.17
Saudi Arabia,445.02,513.62,666.18,1193.2,1652.77
"Tanzania, United Republic of",1884.54,2132.5,2265.66,2565.25,2982.56
Switzerland,1827.27,1578.14,1473.59,1264.42,1172.64
Maldives,12.25,12.26,10.98,12.35,17.74
Palau,2.5,2.89,3.0,2.68,2.56
United Kingdom,6127.25,5971.59,5453.39,5468.87,5581.45
Mauritius,150.76,153.88,126.71,118.75,115.66
Liberia,134.96,164.14,172.82,221.57,247.08
Guinea,389.81,492.75,594.57,696.91,790.62
Cameroon,788.32,1139.58,1501.05,1839.62,2148.68
Malta,21.01,22.1,23.3,24.49,24.06
Cuba,2353.1,2117.63,1647.2,1633.11,1729.85
Croatia,1200.33,1077.38,914.48,795.08,714.16
Romania,2636.42,2908.7,2836.92,2654.25,2283.45
Viet Nam,5634.28,5871.68,6406.38,7117.03,7904.48
Uzbekistan,1692.57,2517.67,2856.06,3124.68,3773.61
Latvia,1037.27,886.57,671.99,508.93,411.54
Mauritania,117.91,118.89,125.88,136.39,149.29
Belize,9.32,15.46,17.6,20.44,25.06
Nicaragua,231.54,290.98,318.82,348.59,356.66
Angola,1048.27,1162.67,1302.62,1525.56,1776.9
Australia,2411.87,2625.19,2408.23,2668.6,2912.67
Central African Republic,405.47,460.28,499.54,554.44,599.31
"Korea, Republic of",5557.16,8415.65,12415.01,15618.92,14495.79
Ecuador,593.6,802.15,1210.77,1531.15,1596.44
