Country,1800-1835,1836-1871,1872-1907,1908-1943,1944-1979,1980-2099
Samoa,,,,,4.62,3.87
Latvia,2.31,2.17,2.26,2.15,1.78,1.5
Armenia,,,,,3.36,1.8
Botswana,3.06,3.06,3.07,3.07,4.61,3.19
Oman,,,,,4.89,4.53
India,1.94,1.94,1.84,2.15,3.45,2.79
Nepal,2.81,2.81,2.81,2.8,3.37,3.34
New Caledonia,,,,,4.07,2.44
Turkmenistan,,,,,4.76,2.94
Netherlands,2.88,2.65,3.14,2.68,2.58,1.6
Guyana,2.13,2.13,2.08,2.65,4.29,2.2
Viet Nam,2.07,2.07,2.06,2.12,4.19,2.54
Guatemala,2.21,2.21,2.2,2.3,4.29,4.24
"Palestine, State of",,,,,5.64,5.06
"Taiwan, Province of China",2.19,2.19,2.16,3.18,4.2,1.6
Argentina,3.1,3.1,3.0,3.15,2.77,2.47
ant,,,,,3.5,2.04
Mongolia,2.62,2.62,2.62,2.58,4.58,2.85
Guam,,,,,4.21,2.66
Côte d'Ivoire,2.99,2.99,2.99,2.97,4.29,4.04
Slovenia,2.46,2.28,2.33,2.06,2.16,1.43
Ethiopia,2.93,2.93,2.93,2.94,3.75,4.06
Cabo Verde,3.05,3.07,3.1,3.19,4.73,3.68
