Country,2000-2002,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020
Lesotho,18666.67,22500.0,24000.0,24500.0,24000.0,21500.0,18000.0,15500.0,14000.0,14000.0
Equatorial Guinea,1166.67,1300.0,1500.0,1750.0,1900.0,2300.0,2800.0,3400.0,3450.0,3900.0
Netherlands,1533.33,1500.0,1250.0,1100.0,1250.0,1100.0,950.0,990.0,900.0,785.0
Ghana,42333.33,43500.0,44500.0,45000.0,45000.0,45000.0,45000.0,44500.0,44000.0,44000.0
Malawi,45000.0,48500.0,50500.0,51000.0,49500.0,46000.0,39000.0,31500.0,28500.0,27000.0
Montenegro,,,185.0,160.0,130.0,120.0,135.0,96.0,91.5,95.5
Nauru,4.67,5.5,13.5,4.5,4.0,6.5,8.5,12.0,8.0,20.0
Marshall Islands,59.0,112.5,155.0,180.0,210.0,175.0,185.0,195.0,395.0,285.0
"Venezuela, Bolivarian Republic of",7900.0,8450.0,8500.0,8050.0,8100.0,8000.0,8100.0,9450.0,13500.0,13000.0
Haiti,23666.67,25000.0,25000.0,24000.0,23000.0,22000.0,21000.0,20500.0,20000.0,19000.0
Malta,21.33,14.5,29.5,49.5,40.5,41.0,55.0,47.5,55.5,135.0
Bosnia and Herzegovina,2766.67,2550.0,2400.0,2550.0,1950.0,1750.0,1550.0,1250.0,895.0,875.0
"Iran, Islamic Republic of",14666.67,13500.0,12000.0,12000.0,13000.0,14000.0,13500.0,12500.0,11000.0,11000.0
Thailand,154666.67,153000.0,143500.0,133500.0,124000.0,118000.0,115000.0,111000.0,107000.0,105000.0
Cyprus,35.67,37.0,40.0,51.0,64.5,65.5,46.0,69.0,59.5,72.5
Albania,670.0,635.0,560.0,495.0,505.0,480.0,510.0,480.0,545.0,450.0
Maldives,166.67,160.0,135.0,155.0,125.0,125.0,150.0,200.0,170.0,195.0
Estonia,810.0,645.0,520.0,490.0,370.0,320.0,285.0,230.0,185.0,155.0
"Congo, The Democratic Republic of the",158333.33,170500.0,182000.0,194500.0,207500.0,222000.0,236500.0,250500.0,266000.0,282000.0
Saint Kitts and Nevis,1.67,1.5,0.5,5.5,3.5,1.5,4.0,1.0,0.5,2.0
Lao People's Democratic Republic,17333.33,16000.0,15500.0,14500.0,14000.0,13000.0,13000.0,12000.0,11500.0,11000.0
Liberia,7200.0,8050.0,8850.0,9800.0,11000.0,12500.0,13000.0,14000.0,14500.0,15500.0
Tunisia,2433.33,2500.0,2650.0,2850.0,2850.0,3900.0,3850.0,4300.0,3950.0,4200.0
