Country,1980-1982,1983-1985,1986-1988,1989-1991,1992-1994,1995-1997,1998-2000,2001-2003,2004-2005,2006-2007
Kenya,10540.0,11215.0,10500.0,12233.33,19326.67,34286.67,56790.0,81573.33,101650.0,107350.0
Latvia,1137.0,1116.33,956.0,902.0,1026.67,1768.33,2018.33,1829.67,1494.0,1258.5
Ukraine,25486.67,24213.33,21943.33,17783.33,19573.33,24403.33,31193.33,38000.0,39005.0,39390.0
Ghana,4531.0,2607.0,5033.0,6520.0,10871.0,9945.33,10890.0,11843.33,11975.0,12605.0
Jordan,601.33,765.67,560.67,437.67,458.0,454.33,353.0,321.33,345.5,347.5
Haiti,6064.33,5867.0,8383.67,9170.0,,7654.67,9771.33,12096.67,14420.0,14045.0
India,799400.0,1117666.67,1380000.0,1528000.0,1105333.33,1213666.67,1145666.67,1073000.0,1146000.0,1262500.0
Lebanon,71.0,879.0,2367.5,884.0,912.0,840.0,630.0,444.33,392.0,425.5
Hungary,5305.0,4784.0,4221.0,3671.67,4110.67,4327.33,3534.67,2716.67,2029.5,1613.5
Malta,21.0,16.67,13.33,18.33,27.0,16.67,18.0,15.33,19.5,34.0
Antigua and Barbuda,3.67,2.0,3.33,1.33,6.0,2.33,3.67,2.0,6.0,3.0
Bulgaria,3095.33,2767.67,2423.0,2387.67,3868.33,3263.67,3665.33,3422.0,3125.0,2992.0
Singapore,2438.0,2053.33,1680.67,1683.0,1761.67,1939.0,1884.33,1544.33,1385.0,1336.0
Egypt,1582.67,1604.0,8215.67,2422.67,5404.33,12483.33,11726.67,11073.33,11535.0,9945.5
Bosnia and Herzegovina,4491.67,4608.33,4406.67,3931.67,958.33,2407.0,2703.33,1966.67,2232.0,2075.5
Palau,14.67,20.0,22.67,4.5,23.33,13.0,32.0,10.0,7.5,11.5
Andorra,,,,19.67,20.0,18.0,10.0,8.33,8.5,8.5
Cabo Verde,417.67,258.0,280.5,215.5,,226.0,205.0,267.33,293.0,268.0
American Samoa,4.67,8.33,10.0,5.67,3.0,3.0,3.33,2.67,5.5,3.5
Tonga,52.67,51.0,24.33,26.33,28.33,21.0,25.33,19.0,15.0,20.5
Botswana,2657.33,2896.67,2846.67,2914.67,4529.67,6529.33,8633.0,9893.33,10095.0,8017.5
Bahrain,212.33,211.33,139.33,127.0,127.0,45.67,145.0,213.33,262.0,287.0
New Zealand,453.0,392.67,303.67,328.67,314.33,354.67,385.33,364.0,351.5,309.0
Türkiye,34390.0,29060.0,29813.33,25436.67,25460.0,22956.67,21876.67,17740.0,18640.0,19255.0
Northern Mariana Islands,50.5,65.33,33.0,28.0,56.5,64.0,79.33,52.0,55.0,47.5
Sao Tome and Principe,69.33,49.33,25.33,68.5,69.0,,99.67,216.0,128.5,123.0
