Country,1993-1994,1995-1996,1997-1998,1999-2000,2001-2002,2003-2004,2005-2005,2006-2006,2007-2007
Monaco,,0.0,0.0,1.0,0.0,,,,
Botswana,1588.0,2216.5,2968.0,2918.5,3195.5,3088.5,3170.0,3252.0,3002.0
Burkina Faso,561.0,1204.5,1228.5,1485.5,1533.0,1814.5,2294.0,2659.0,2614.0
Montserrat,0.0,,1.0,1.0,0.0,0.5,1.0,0.0,1.0
Guinea,2120.0,2553.5,3171.5,3741.5,4196.0,4755.0,5479.0,5903.0,6199.0
Turks and Caicos Islands,,,,2.0,1.5,6.0,,7.0,
Haiti,,3524.0,5969.5,6357.5,5897.5,7029.5,7340.0,7461.0,7915.0
United Kingdom,276.5,4147.0,1093.0,1000.5,1155.5,1574.0,1821.0,1767.0,1639.0
Kiribati,141.5,144.0,51.0,56.5,73.0,120.5,124.0,129.0,103.0
ant,,3.0,5.5,2.0,8.0,6.0,,5.0,
Saint Kitts and Nevis,2.0,3.0,4.0,1.0,0.5,0.0,0.0,1.0,4.0
Dominican Republic,2737.0,3260.0,2915.5,3092.5,2400.5,2763.0,2949.0,2658.0,2373.0
Ecuador,5999.5,6158.0,6057.0,4682.0,4331.0,4414.0,3048.0,3182.0,3448.0
"Korea, Democratic People's Republic of",,,2191.5,10756.5,16505.0,17935.0,17800.0,18440.0,23580.0
Oman,129.0,149.5,160.5,142.0,153.5,135.0,131.0,184.0,187.0
Cayman Islands,2.0,0.0,1.0,3.5,0.5,0.5,,0.0,1.0
Iraq,5510.5,6757.0,8548.5,6551.0,3727.0,3479.0,3096.0,2886.0,2726.0
Nepal,8559.5,9475.5,11315.0,13545.0,13695.0,14480.0,14620.0,14030.0,14360.0
Guyana,56.0,78.0,95.0,148.5,156.0,204.0,240.0,294.0,233.0
Honduras,2200.5,2057.0,2119.5,2909.5,3110.5,2075.0,2069.0,2018.0,1974.0
Burundi,1694.0,1327.0,2402.0,2924.0,2915.5,3182.0,3262.0,3119.0,3595.0
Belgium,455.5,382.0,426.0,406.0,445.5,376.5,380.0,343.0,322.0
Brazil,39170.0,45075.0,43520.0,41405.0,39925.0,41410.0,42090.0,41120.0,38440.0
