Country,1996-1997,1998-1999,2000-2001,2002-2003,2004-2005,2006-2006,2007-2007
Uruguay,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Libya,0.0,50.0,100.0,100.0,100.0,100.0,100.0
Benin,100.0,100.0,100.0,100.0,100.0,100.0,
Eswatini,0.0,,0.0,100.0,100.0,100.0,100.0
Australia,0.0,37.0,54.0,58.5,75.5,97.0,100.0
American Samoa,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Senegal,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Bermuda,,,0.0,100.0,0.0,0.0,
United Kingdom,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saint Vincent and the Grenadines,,100.0,100.0,100.0,100.0,100.0,0.0
Gambia,100.0,50.0,,100.0,100.0,100.0,100.0
Denmark,0.0,0.0,0.0,5.0,100.0,100.0,100.0
Israel,0.0,0.0,100.0,100.0,100.0,100.0,100.0
India,2.0,11.5,37.5,59.5,87.5,100.0,100.0
Lao People's Democratic Republic,53.5,68.0,71.0,84.5,99.0,100.0,100.0
Angola,15.5,36.0,21.5,54.0,58.0,92.0,63.0
"Congo, The Democratic Republic of the",55.5,61.0,70.0,72.5,87.5,100.0,100.0
Azerbaijan,12.0,12.0,8.0,40.0,94.0,100.0,100.0
Italy,21.0,21.0,21.0,21.0,43.0,65.0,65.0
Japan,0.0,0.0,41.0,63.0,77.0,99.0,99.0
Comoros,100.0,100.0,100.0,100.0,100.0,100.0,
Maldives,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bahrain,0.0,50.0,100.0,100.0,100.0,100.0,100.0
Bahamas,0.0,50.0,100.0,100.0,100.0,,100.0
Panama,0.0,11.5,54.0,70.0,96.0,100.0,99.0
Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albania,0.0,0.0,13.0,30.0,33.0,50.0,75.0
Sierra Leone,82.5,100.0,70.0,96.5,100.0,100.0,100.0
Sweden,0.0,0.0,0.0,0.0,0.0,0.0,0.0
