Country,1996-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2015,2016-2017,2018-2019,2020-2021
Qatar,,,4.79,4.83,4.42,4.24,4.22,4.48,3.89,3.92
Russian Federation,10.6,10.78,10.8,9.26,8.72,7.81,5.98,4.5,5.89,4.99
"Iran, Islamic Republic of",,22.74,15.29,17.55,14.31,15.23,,,15.43,12.09
El Salvador,7.14,6.7,7.25,7.91,7.09,6.9,6.96,7.73,7.96,8.15
Saint Vincent and the Grenadines,17.45,14.46,11.72,9.02,10.8,11.25,11.06,13.17,13.3,13.24
Panama,9.65,7.29,7.66,7.72,7.37,6.0,5.41,,,6.1
Samoa,,,,,,9.81,10.13,10.38,10.85,10.38
Mali,10.35,8.66,10.88,10.54,10.43,9.89,10.14,10.27,11.42,11.26
Bahamas,,28.58,25.02,23.88,20.22,19.68,19.43,18.95,17.69,
Sudan,4.15,,17.02,13.91,15.45,15.88,,17.44,,25.17
Tuvalu,,,,,1.59,,,2.43,,
Finland,5.53,4.11,3.85,3.37,3.1,2.93,3.08,3.28,3.1,2.82
Cameroon,,13.49,14.15,13.86,12.83,12.65,12.9,,15.7,
Burundi,,,20.96,17.74,17.46,14.34,11.93,10.25,16.04,16.95
Bulgaria,5.53,4.11,3.85,3.37,3.1,2.93,3.08,3.28,3.1,2.82
Seychelles,,29.72,,31.75,,,4.65,5.64,14.64,3.71
Türkiye,5.7,4.75,4.14,3.88,4.35,5.16,5.8,5.48,4.82,4.95
Lesotho,,12.31,16.72,15.49,11.64,12.56,11.5,11.93,20.8,11.7
Serbia,,10.69,7.88,6.16,5.97,5.84,6.26,6.48,6.49,6.78
Uruguay,11.25,12.28,9.99,7.65,7.59,8.41,8.61,10.38,9.81,9.99
Guyana,18.71,14.12,11.67,11.12,11.12,11.24,11.39,11.3,8.36,7.83
Cayman Islands,,,,,,,,16.72,,20.39
Slovakia,5.53,4.11,3.85,3.37,3.1,2.93,3.08,3.28,3.1,2.82
Maldives,,20.34,20.13,21.17,20.04,11.47,9.75,12.51,15.53,11.64
Cuba,8.86,8.79,8.78,9.45,10.1,9.4,9.81,9.36,10.06,10.56
Luxembourg,5.53,4.11,3.85,3.37,3.1,2.93,3.08,3.28,3.1,2.82
Timor-Leste,,,,,,2.5,2.5,2.5,,2.53
"Venezuela, Bolivarian Republic of",13.54,13.62,13.24,14.44,13.53,12.51,14.2,14.21,16.32,18.9
