Country,1990-1996,1997-2003,2004-2010,2011-2016,2017-2022
Solomon Islands,,,,2437576931.14,2835339464.87
Finland,21071518705.02,30342714285.71,36583428571.43,42254166666.67,50106666666.67
Türkiye,635526771.43,8023256500.0,192535504651.55,359677369311.66,1086993991057.06
Rwanda,21832000000.0,,,844148226881.87,1255934143469.76
Uruguay,12796142857.14,44567359324.76,105610049595.55,248418620721.83,378568375309.43
Latvia,699560142.89,1517756017.32,3724662515.13,5052201135.26,7040079927.45
Uzbekistan,,,,23370094457058.4,63457561054067.8
Armenia,,,457280070763.66,926171428281.58,1435927627415.6
Gabon,,,,1205998238661.99,1034736931486.74
Chile,3225120000000.0,6795320000000.0,15379435000857.63,25699341809821.52,39452895081369.86
Timor-Leste,,,971622300.04,1027931795.77,448660670.41
"Palestine, State of",,,320399939.5,653012272.19,2857190172.46
Netherlands,68775058664.71,93601142857.14,126508857142.86,138017833333.33,197163000000.0
Kuwait,66142857.14,113000000.0,,,
Mali,,286921824891.23,521075273400.29,952448230099.5,1353938027838.64
Albania,29898477000.0,76516365500.0,132520460000.0,245028921666.67,304199062000.0
Saint Lucia,,415678732.25,639684348.14,842259688.5,983420000.0
Belize,214409142.86,306601714.29,552469285.71,794245062.6,967444231.6
Philippines,246080857142.86,467438000000.0,889700142857.14,1602276166666.67,2685297178833.33
Bhutan,469414285.71,1771891142.86,4663230668.57,15462532415.2,24558665817.85
Ireland,12306200689.05,27141238285.71,43112558142.86,44004543000.0,66550889833.33
China,,,2876384062654.83,5988084650417.28,8528191858035.55
United Arab Emirates,,3114333333.33,,3507891098.41,7396911924.94
Niger,,,,,
Saint Vincent and the Grenadines,147657142.86,234220857.14,380870689.71,458050083.33,542370000.0
Bahrain,100057142.86,130100000.0,114817142.86,119298155.39,277916265.13
Dominican Republic,16576871428.57,50111110088.8,193716669712.95,364827565139.14,641144890213.59
