Country,1800-1824,1825-1849,1850-1874,1875-1899,1900-1924,1925-1949,1950-1973,1974-1997,1998-2021
Jamaica,0.19,0.19,0.19,0.19,0.19,0.19,1.54,3.22,3.33
Kazakhstan,0.0,0.0,0.04,0.45,1.13,3.36,10.47,14.67,13.58
Rwanda,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.08,0.07
Timor-Leste,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.18,0.36
Malta,0.84,0.84,0.84,0.84,0.84,0.84,1.35,4.54,5.42
Marshall Islands,1.59,1.59,1.59,1.59,1.59,1.59,1.59,1.61,2.52
India,0.0,0.0,0.0,0.01,0.09,0.13,0.26,0.56,1.35
"Korea, Democratic People's Republic of",0.0,0.0,0.0,0.0,0.05,0.64,2.56,6.12,2.22
Liberia,0.05,0.05,0.05,0.05,0.05,0.05,0.36,0.48,0.19
Zambia,1.0,1.0,1.0,1.0,1.0,1.0,1.16,0.47,0.26
Sao Tome and Principe,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.39,0.51
Cambodia,0.02,0.02,0.02,0.02,0.02,0.02,0.05,0.07,0.45
Dominican Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.44,1.34,2.2
Maldives,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,2.59
Cameroon,0.03,0.03,0.03,0.03,0.03,0.03,0.07,0.33,0.3
Saint Vincent and the Grenadines,0.06,0.06,0.06,0.06,0.06,0.06,0.18,0.61,1.95
Trinidad and Tobago,0.0,0.0,0.0,0.0,0.95,14.07,4.9,13.91,26.62
"Palestine, State of",0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.39,0.57
Ghana,0.12,0.12,0.12,0.12,0.12,0.12,0.2,0.25,0.43
New Zealand,0.76,0.76,0.76,1.8,3.74,2.91,4.79,6.73,8.04
Dominica,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.69,2.1
Israel,0.07,0.07,0.07,0.07,0.07,0.09,3.93,6.76,8.47
Ireland,0.06,0.06,0.07,0.06,0.26,2.88,4.78,8.37,9.66
"Moldova, Republic of",0.0,0.0,0.02,0.2,0.49,1.45,5.04,7.04,1.34
Azerbaijan,0.0,0.0,0.02,0.2,0.48,1.4,4.66,6.52,3.6
Croatia,0.0,0.0,0.0,0.01,0.11,0.38,1.52,3.76,4.62
"Korea, Republic of",0.0,0.0,0.0,0.0,0.0,0.03,0.77,4.92,11.17
Chile,0.18,0.18,0.18,0.18,0.75,0.91,1.9,2.26,4.14
