Country,1916-1933,1934-1951,1952-1969,1970-1987,1988-2004,2005-2021
United Arab Emirates,,0.0,1.26,35.82,75.71,183.47
Tonga,,0.01,0.01,0.04,0.09,0.13
Guinea-Bissau,,0.01,0.03,0.12,0.18,0.27
India,38.42,50.45,117.59,287.54,802.86,1988.31
Hong Kong,,0.39,3.59,16.05,34.42,41.26
"Congo, The Democratic Republic of the",0.17,0.33,2.65,3.4,2.16,2.37
Marshall Islands,,,,,0.09,0.14
Hungary,10.81,15.15,46.96,80.65,63.9,50.39
Timor-Leste,,,,,0.17,0.51
Papua New Guinea,,0.06,0.23,1.67,2.63,6.07
Kyrgyzstan,0.54,2.44,8.52,18.3,9.02,8.34
Uruguay,0.07,0.36,4.35,5.07,4.94,6.82
Bosnia and Herzegovina,0.9,1.33,5.33,15.13,12.35,19.85
Nigeria,0.61,1.25,5.74,55.73,56.54,110.95
Ecuador,0.27,1.01,1.76,11.57,21.17,36.49
Mexico,41.82,24.34,62.33,219.36,363.82,467.41
Austria,15.4,13.35,32.45,55.02,65.0,68.81
Ireland,5.01,8.97,12.58,24.51,38.3,40.51
Myanmar,3.02,1.61,2.39,5.28,7.17,19.54
Honduras,,0.32,0.66,1.77,4.15,9.15
Senegal,,,0.8,2.37,3.72,8.45
Bahamas,,0.06,0.67,4.98,1.89,2.16
Eswatini,,0.0,0.07,0.39,0.94,1.04
South Sudan,0.0,0.01,0.14,0.35,0.46,1.39
