Country,1967-1973,1974-1980,1981-1986,1987-1992,1993-1998,1999-2004,2005-2010,2011-2016,2017-2022
Iraq,17.44,17.49,11.0,13.1,20.05,3.05,1.28,1.22,1.04
Russian Federation,,,,,4.21,2.18,1.9,1.76,1.69
Albania,,,27.13,27.6,,30.51,24.44,30.86,33.68
Barbados,14.36,17.68,12.22,6.87,3.31,,,,
Croatia,,,17.2,15.15,10.04,3.94,4.09,6.56,5.01
Australia,9.57,8.0,7.41,6.71,5.6,4.01,2.78,2.66,2.27
"Palestine, State of",,,,,28.11,19.11,13.13,8.5,7.54
Bermuda,,,,,2.01,2.01,1.95,1.93,2.97
North Macedonia,,,,29.75,19.15,13.89,16.8,19.91,17.97
Trinidad and Tobago,3.32,3.92,5.91,6.97,1.45,1.16,0.53,,
Kenya,10.3,9.75,11.13,9.58,7.91,7.46,7.37,12.84,8.46
"Moldova, Republic of",,,,,9.09,10.31,15.09,16.05,15.86
Kyrgyzstan,,,,,2.22,2.24,7.84,5.08,3.11
Ethiopia,,,,19.32,19.52,11.97,8.96,9.9,
Congo,4.36,9.93,10.85,4.61,,2.42,2.25,,
Argentina,,,11.12,10.43,7.99,7.67,8.47,8.32,5.37
Côte d'Ivoire,14.89,16.14,15.7,8.99,10.79,,,,
Egypt,33.54,32.23,21.22,16.35,12.77,12.88,10.51,4.08,12.72
Costa Rica,12.62,11.09,9.67,9.1,9.3,6.52,6.05,3.47,2.41
Pakistan,35.86,26.93,19.44,25.6,26.84,32.76,29.19,29.56,29.62
United States,7.98,6.61,5.77,5.09,4.5,3.12,1.83,1.32,1.17
Guatemala,14.01,12.13,9.91,9.33,,,,,
Ghana,15.91,13.92,6.68,7.87,5.13,5.02,6.42,6.39,
Kazakhstan,,,,,,,1.17,0.93,0.86
Libya,4.88,7.5,,,,,,,
Montenegro,,,,,,,2.03,2.03,1.94
