Country,2003-2006,2007-2010,2011-2013,2014-2016,2017-2019
Russian Federation,,,13.2,10.8,10.1
Libya,,,35.0,35.0,35.0
Yemen,66.25,26.0,31.67,41.0,41.0
France,15.5,6.62,6.5,4.0,3.67
Hong Kong,11.0,8.5,2.5,1.83,1.5
Niger,35.0,20.0,18.0,14.33,9.33
Australia,3.0,2.62,2.5,2.5,2.33
Switzerland,18.5,18.0,18.0,10.0,10.0
Lebanon,53.0,25.25,15.0,15.0,15.0
Uganda,34.5,27.5,27.67,27.0,24.0
Mali,33.75,16.5,9.0,9.33,11.0
Canada,3.5,5.0,5.5,2.83,1.5
Cabo Verde,56.0,36.5,18.0,18.0,15.0
"Bolivia, Plurinational State of",54.0,49.0,49.0,47.67,40.0
Pakistan,,,20.0,20.0,17.5
Chile,41.5,39.12,8.17,7.5,5.83
Qatar,,9.62,10.5,10.5,9.83
Dominica,14.0,13.25,12.0,12.0,12.0
Panama,18.0,12.75,7.0,6.0,6.0
Papua New Guinea,52.0,52.0,52.33,49.0,41.0
South Sudan,,,14.0,14.0,13.0
