Country,1991-1993,1994-1996,1997-1998,1999-2000,2001-2002,2003-2004,2005-2006,2007-2008,2009-2010,2011-2012
Indonesia,63.27,36.92,167.44,-44.58,10.31,-16.37,52.45,-32.64,-18.76,-33.74
Jamaica,7.62,16.8,25.18,31.62,32.21,41.53,49.5,57.4,52.73,63.79
Lao People's Democratic Republic,6.79,-6.27,176.63,178.72,-15.79,60.56,30.31,53.2,3.73,436.33
Ireland,0.75,4.86,4.43,2.75,6.16,4.94,7.94,6.86,0.03,-5.69
United States,0.46,4.94,9.79,12.26,12.47,16.0,15.52,12.27,8.52,5.24
Mexico,1.31,5.84,24.6,14.37,12.88,18.33,29.86,30.58,30.75,33.19
Nepal,-1.11,5.88,11.02,44.45,16.96,19.98,23.03,25.98,30.48,47.15
Georgia,-28.71,-62.46,-69.49,-70.52,-60.18,-74.07,-69.87,-67.08,-65.52,-61.68
Romania,-23.8,-28.56,-36.36,-46.97,-44.82,-43.18,-42.58,-43.81,-51.96,-49.86
Austria,0.99,3.5,6.76,4.32,8.5,18.36,20.99,17.67,14.75,14.47
Latvia,-17.83,-41.94,-54.03,-64.98,-61.63,-61.68,-59.39,-57.5,-58.05,-58.28
Cambodia,0.81,-1.7,271.04,148.06,342.04,628.32,420.88,713.42,447.97,551.16
Italy,-1.3,-0.46,0.97,5.04,7.53,10.83,10.8,5.81,-4.66,-5.14
Lesotho,5.76,1.77,73.89,87.19,80.25,85.69,55.79,85.48,63.44,83.86
Dominican Republic,12.31,30.59,52.48,63.37,69.6,67.23,73.18,79.51,82.84,94.03
