Country,1960-1967,1968-1975,1976-1983,1984-1991,1992-1999,2000-2007,2008-2015,2016-2023
Mexico,377686250.0,882836765.15,2316396574.58,8688567166.66,22373503714.88,61421786075.64,144899727454.42,185704566853.34
Norway,389586250.0,1271781551.61,4658063520.29,13212472823.63,20734820117.76,41133671564.53,54352186564.72,71065846448.45
Nicaragua,32097500.0,77564746.67,119841724.87,82414249.68,237264998.18,654976118.56,1881721221.48,3371754272.92
Libya,162430000.0,1978180848.28,6589211459.5,5189717761.04,6328709276.8,33130412553.69,98981686800.98,76315476041.56
Israel,454593750.0,914504114.82,2859631680.22,4890281117.97,12930930674.73,26235413436.17,72909428732.06,154355952453.13
Nepal,35297500.0,93431403.77,161064160.12,190869142.3,648328152.9,1391738542.63,4419781418.42,9395192796.33
Sierra Leone,24785500.0,40241368.61,26409469.2,8095542.26,33942030.75,118489798.75,457944753.53,606439906.55
Viet Nam,,,,,2074768690.19,8798974059.84,22531183748.0,72876402454.56
Colombia,51000000.0,305632219.36,3048995321.89,3345727905.59,8540319708.72,13103776875.28,34886569498.53,52893481799.83
Sao Tome and Principe,,,,,8630793.26,23707927.56,60001347.28,61109534.99
Bulgaria,,,,310596629.9,1495937842.87,7672690439.46,17585056535.41,32219712169.75
Samoa,3535000.0,5224004.98,5091309.47,40829870.13,58637302.34,74532335.74,124835501.31,236539863.27
"Micronesia, Federated States of",,,,,87834354.07,77283734.66,79613797.06,318456150.53
Costa Rica,13108750.0,33364293.27,176600149.78,596824306.66,1096045098.87,2181378213.57,5810088632.08,8386674205.44
China,,,5713541736.12,20951724052.11,91001954989.16,639743653131.9,3101150116427.84,3181467363277.78
Angola,,,,,374076773.04,3357767922.52,23967176850.19,16089963851.8
Luxembourg,,,,52246761.63,72481246.99,189369603.38,741429434.42,1601237722.94
Spain,535822500.0,3366349852.86,8967871245.24,33018036605.26,47159699700.07,19908016029.58,29679068311.97,66388800668.71
United Kingdom,855008750.2,4067897783.74,14860125765.48,29881735313.52,37636800268.38,54147100681.31,95058689018.25,154069344374.11
Uganda,37920000.0,37214994.62,48137783.14,43162588.35,458917269.96,1353579776.93,2918549044.47,3392408813.64
Yemen,,,,550724458.79,753366155.07,5370370799.37,5314516896.0,1477613143.42
Sudan,110223750.0,48912448.13,30657847.33,18335193.51,96774355.7,901295537.4,557819306.93,173109102.43
Chad,9795250.0,4543418.72,14735876.77,71003345.15,106669487.7,333290863.02,916148422.84,179467941.05
Trinidad and Tobago,27021250.0,181635639.54,2219179124.52,543930454.56,508502582.94,3645454607.52,9726552465.91,7307435781.13
Oman,,62069385.81,517437079.31,1372488416.94,2042744948.73,4250584989.93,14423981846.73,17491056489.0
