Country,2004-2007,2008-2011,2012-2015,2016-2018,2019-2021
Djibouti,,,339.0,,313.5
North Macedonia,10679.0,,,,8445.0
Monaco,10498.0,8649.75,7366.75,7715.0,7658.33
Brunei Darussalam,,,,3149.67,4027.0
Suriname,,,744.5,703.33,702.33
Philippines,,13443.5,19494.75,25495.33,28088.33
Czechia,14683.5,8547.0,5617.75,5382.33,4987.33
Dominican Republic,4546.5,4918.75,5576.5,5604.67,5537.67
Kazakhstan,9045.0,14522.0,17223.5,15634.5,15767.67
Canada,,57085.0,66692.75,77818.33,92142.0
Belarus,13899.0,,16476.25,14726.0,14706.67
Somalia,,,,,140.0
Rwanda,227.5,,1534.67,2347.0,3084.0
Yemen,1552.5,1624.33,2155.0,1789.67,1598.33
Sweden,,6311.5,4379.5,4593.33,4525.33
Sint Maarten (Dutch part),,2210.0,1994.0,,
Romania,18883.0,8344.0,5316.25,4750.0,4773.0
Antigua and Barbuda,,,,,1699.5
nld_curacao,,2082.5,2483.5,2316.0,2343.67
Bahrain,5335.0,9314.67,10576.0,10731.0,11721.0
Seychelles,,,,560.0,473.0
Switzerland,46012.25,48219.0,48237.75,53249.33,60570.0
Slovakia,13568.75,7800.75,5810.25,5025.67,4622.0
Tajikistan,5035.5,5042.25,6022.33,5045.0,5584.0
South Africa,12348.25,12708.25,14893.25,15423.0,14694.67
Sao Tome and Principe,162.0,923.25,1397.75,1670.0,1995.0
Sudan,3220.75,2973.75,3615.0,3496.0,3280.5
United Arab Emirates,,12851.0,13610.25,13428.0,14181.0
Portugal,12927.25,7775.75,4707.5,5791.33,5306.0
