Country,1969-1979,1980-1982,1983-1985,1986-1988,1989-1991,1992-1994,1995-1997,1998-1999,2000-2001,2002-2003
Mongolia,,,,,,,,,,
Puerto Rico,3.54,6.44,6.78,7.03,6.03,6.78,,,,
Norway,5.74,4.52,5.12,6.0,5.44,4.51,3.99,3.83,3.48,2.91
Saint Vincent and the Grenadines,2.11,,4.42,8.3,,,,,,
Spain,7.36,9.98,9.53,11.2,11.91,9.35,8.14,7.46,5.9,5.34
Portugal,9.69,13.3,12.37,12.12,11.87,10.91,9.51,7.29,6.53,6.96
Barbados,2.59,4.0,4.18,2.9,2.39,3.36,2.28,,,
Serbia,,,,,,,,1.33,0.81,0.52
Romania,,,,,13.79,12.53,12.18,7.75,5.42,4.88
Bermuda,16.28,3.16,,,,,,,,
Trinidad and Tobago,,7.36,8.31,5.13,5.84,5.92,,,,
Kazakhstan,,5.94,5.56,6.36,11.55,10.34,6.94,6.32,6.37,6.59
Cyprus,,,,,,,,,,
Egypt,,,,,,,,,,
Chile,4.85,4.91,2.46,2.55,2.97,4.69,,,,
"Venezuela, Bolivarian Republic of",14.82,15.55,11.6,11.06,9.67,10.33,,,,
Tajikistan,,4.25,4.5,5.06,5.99,4.2,1.78,1.51,1.47,1.51
Israel,10.39,7.18,8.42,7.42,6.46,6.31,6.17,2.88,2.57,2.26
United States,13.44,12.67,11.91,12.61,12.16,11.13,11.69,10.46,8.97,9.03
Dominica,,1.67,2.76,,,,,,,
United Kingdom,7.13,6.77,6.11,5.66,5.49,4.51,3.89,3.77,2.43,2.51
Croatia,,,13.46,13.36,14.2,11.87,5.22,4.8,4.63,4.93
Hungary,7.94,9.11,9.63,9.98,13.03,11.26,7.07,5.42,5.22,6.13
Guadeloupe,,,,,,,,,,
deu_east,,7.63,7.29,6.63,9.32,,,,,
Montenegro,,,,,,,,,,
Italy,7.99,8.59,7.63,7.75,7.17,7.3,6.37,6.26,6.02,4.76
Iceland,5.77,5.51,5.79,7.31,7.27,3.87,4.93,4.64,6.45,5.83
