Country,2010-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2022
Jamaica,,,75.5,69.61,94.27,100.0
Brazil,,,,,80.35,81.4
Guinea-Bissau,26.21,,,,,
Poland,98.03,98.35,98.35,99.15,100.0,
"Virgin Islands, British",,,,,42.12,
Dominican Republic,91.85,75.31,81.54,86.84,90.0,50.0
Saint Vincent and the Grenadines,,14.07,,,,
Seychelles,69.45,63.32,83.6,86.01,82.46,69.08
Portugal,100.0,100.0,100.0,100.0,100.0,
Panama,46.01,,100.0,100.0,,
Mali,58.58,,,,,
Trinidad and Tobago,,,,,75.28,75.12
Cameroon,49.31,,54.25,67.34,78.1,73.12
Aruba,99.55,,,,,
Puerto Rico,,,89.24,,,
Jordan,,100.0,100.0,100.0,100.0,100.0
Eritrea,55.15,48.13,41.83,40.69,37.58,
Lesotho,,,100.0,,,
Mongolia,92.16,,100.0,98.43,95.69,97.98
"Korea, Republic of",,100.0,100.0,100.0,100.0,100.0
Viet Nam,98.51,97.42,98.53,98.99,99.72,82.2
Kiribati,,,,,93.62,
Kyrgyzstan,85.15,86.11,88.27,91.02,92.44,93.41
Egypt,,,76.53,,79.19,80.93
"Iran, Islamic Republic of",,,,,,
Ecuador,,,,,90.22,91.92
"Congo, The Democratic Republic of the",20.7,19.52,20.64,13.46,12.65,100.0
Saudi Arabia,,100.0,100.0,100.0,100.0,100.0
Fiji,,,,,93.55,91.22
