Country,2005-2006,2007-2008,2009-2010,2011-2012,2013-2014,2015-2016,2017-2018,2019-2020,2021-2021,2022-2022
Viet Nam,94.5,98.21,98.99,99.45,100.0,99.62,99.79,99.6,,
Mongolia,100.0,100.0,98.79,98.95,100.0,100.0,93.27,88.94,,99.68
Puerto Rico,,,,,94.0,93.63,,,,
Tajikistan,93.05,87.85,91.23,93.79,97.04,100.0,100.0,,,
Iraq,,,,,,,,,,
Russian Federation,96.4,96.65,,98.84,98.89,98.95,98.58,,,
Georgia,,94.99,94.59,,,,,,,
Burundi,87.51,87.42,91.19,94.58,92.15,100.0,100.0,100.0,,
Philippines,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Azerbaijan,99.98,99.97,99.95,99.99,99.46,99.28,98.78,99.85,99.71,99.77
Niger,88.45,98.34,98.01,,47.96,55.58,61.61,,96.0,97.54
United States,,,,,100.0,100.0,100.0,100.0,100.0,
Solomon Islands,,,57.97,53.93,63.98,62.39,75.11,82.36,,
Barbados,73.25,65.67,58.28,55.41,68.77,67.43,78.14,75.09,75.8,75.83
Côte d'Ivoire,,100.0,100.0,99.69,83.88,100.0,100.0,100.0,100.0,100.0
Kenya,99.17,98.56,96.81,,,,,100.0,,
Sri Lanka,,,82.11,82.39,80.24,85.63,84.26,82.98,87.63,
Antigua and Barbuda,,60.09,55.94,62.49,70.17,65.29,53.99,47.54,,
Costa Rica,92.42,87.76,88.54,91.45,93.98,93.83,93.95,94.4,,
Cameroon,62.26,,57.39,72.96,,,81.24,53.41,81.65,81.9
"Micronesia, Federated States of",,,,,,,39.66,36.15,27.55,
"Moldova, Republic of",,,,,,,,100.0,100.0,100.0
Honduras,,,,,,,,,,
Kyrgyzstan,59.61,63.37,67.08,70.82,92.59,93.89,95.73,96.4,96.73,96.57
"Iran, Islamic Republic of",95.84,98.55,,,100.0,100.0,100.0,,,
Sao Tome and Principe,,,48.75,32.76,32.11,32.72,27.41,,,
Macao,89.87,87.59,85.36,86.91,88.18,96.88,98.36,98.91,99.09,99.13
