Country,2005-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2016,2017-2017,2018-2018,2019-2019,2020-2020,2021-2021,2022-2022
Solomon Islands,,,54.6,58.12,59.63,64.53,72.27,74.02,81.4,,,
Guinea-Bissau,,,58.72,,,,,,,,,
Rwanda,96.15,94.79,95.85,94.75,95.15,93.29,93.51,95.29,95.87,,77.04,76.93
Palau,,,,,,,,,,,100.0,
Pakistan,75.44,76.7,75.17,75.45,73.59,,,68.44,70.09,,70.38,
Aruba,100.0,100.0,100.0,99.8,,,,,,,,
Armenia,77.92,,,,,,,,74.76,76.15,74.88,82.39
Madagascar,,,,23.08,18.93,17.83,17.9,18.19,18.91,,,
Barbados,70.9,59.15,58.17,,71.6,70.68,82.29,79.16,78.13,77.48,78.01,77.78
Mali,,55.29,56.61,,,,,,,,,
Latvia,,,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
Equatorial Guinea,,40.21,47.6,,40.56,,,,,,,
Mexico,,,,84.95,85.98,87.58,88.25,89.01,90.07,91.49,,
Ukraine,,,,,,86.02,86.75,87.29,89.11,89.64,90.01,
"Bolivia, Plurinational State of",,,,82.05,85.59,87.6,87.45,88.24,88.64,89.11,88.93,93.75
Cyprus,,,,,,,100.0,100.0,100.0,100.0,100.0,
Senegal,39.87,36.05,50.73,64.96,65.41,,,,72.08,71.05,71.66,66.27
Lesotho,71.23,62.12,69.17,73.16,80.17,87.49,,,,,,98.3
Monaco,,,,,,,,,65.47,73.19,71.92,73.05
Uzbekistan,100.0,100.0,100.0,,,,98.94,99.03,99.97,99.23,100.0,100.0
Saint Vincent and the Grenadines,80.11,82.24,89.72,87.22,81.93,,67.24,62.6,85.9,84.18,82.41,80.07
Bahamas,,88.55,95.6,92.5,86.98,90.58,90.11,91.07,93.72,,91.93,
Tunisia,,,,100.0,100.0,100.0,100.0,100.0,,100.0,,100.0
South Africa,,,,,,,,,,,,
Trinidad and Tobago,86.61,95.82,,,,,,,,80.84,,78.81
Iraq,,,,,,,,,,,,
