Country,1977-1984,1985-1992,1993-2000,2001-2008,2009-2016,2017-2023
Croatia,,,20.55,11.67,10.63,8.23
"Tanzania, United Republic of",44.9,26.57,7.67,17.11,25.17,40.18
Solomon Islands,27.57,13.67,5.02,17.31,25.34,37.49
Benin,67.3,46.88,22.28,11.34,30.31,39.04
Jordan,29.83,27.97,21.01,18.97,22.35,19.72
Azerbaijan,,,42.18,50.56,25.9,43.57
Grenada,2.93,3.86,4.07,4.17,2.94,2.26
Türkiye,35.5,16.12,13.38,18.54,30.1,37.33
Egypt,57.98,52.82,33.2,32.09,45.74,42.01
Kuwait,76.02,84.7,83.91,62.74,36.27,16.95
Mozambique,,,,30.39,48.57,71.66
Costa Rica,23.57,17.46,11.96,10.02,7.68,5.96
Chad,21.48,14.56,10.52,,,
Saudi Arabia,23.98,,,18.21,21.84,21.08
Thailand,23.74,21.22,18.35,22.4,13.07,12.08
Ukraine,,,72.88,51.69,43.03,32.04
Lithuania,,,48.76,47.79,57.63,57.02
"Venezuela, Bolivarian Republic of",44.46,42.26,34.96,34.99,40.82,
