Country,1977-1980,1981-1984,1985-1988,1989-1992,1993-1996,1997-2000,2001-2004,2005-2008,2009-2012,2013-2016,2017-2020,2021-2023
South Sudan,,,,,,,,,,1.82,5.44,3.18
Croatia,,,,,25.42,14.05,10.74,12.6,11.25,10.02,8.86,7.38
Lebanon,,,,,,,3.22,3.87,5.53,8.19,5.96,2.97
Solomon Islands,,20.28,11.85,9.8,4.43,4.39,6.66,25.46,24.63,23.72,27.19,42.55
Lao People's Democratic Republic,,25.17,27.45,43.45,14.17,8.74,19.61,15.17,9.82,8.61,14.66,36.92
Benin,56.1,53.9,47.54,26.8,21.66,16.28,11.41,9.57,22.15,35.03,36.42,36.09
Switzerland,18.23,16.7,12.67,16.11,15.15,16.32,13.9,12.65,11.62,11.12,10.87,12.83
Montenegro,,,,,,,,10.97,16.0,17.7,24.69,27.65
Iraq,,,,,,,,40.7,16.03,9.26,11.71,7.19
Uruguay,18.35,24.37,20.82,35.9,30.31,23.32,33.45,32.74,16.51,11.12,10.12,10.82
Zimbabwe,61.95,50.86,34.55,38.47,24.86,,,,24.99,23.58,43.25,
Bulgaria,36.27,35.26,29.6,38.13,33.36,28.56,27.5,26.06,20.29,21.67,21.0,19.07
Côte d'Ivoire,,,,,,,,20.47,17.35,18.6,32.77,39.84
Belarus,,,,,61.16,56.53,52.58,63.04,60.65,46.69,43.11,42.31
Cameroon,49.4,43.83,50.64,41.16,33.46,22.01,24.7,43.92,34.68,29.78,31.76,31.33
Latvia,,,,94.69,80.54,61.11,,43.21,46.13,43.58,37.33,31.31
Kazakhstan,,,,,64.86,48.99,45.9,51.69,51.72,53.66,55.93,58.38
Sudan,10.17,3.68,7.63,13.78,0.95,24.8,25.05,3.79,2.02,20.85,27.59,28.64
Grenada,0.76,4.01,3.15,4.33,4.31,3.7,4.46,3.81,2.6,3.25,2.41,2.04
Malawi,54.0,44.99,49.69,47.11,37.83,24.48,40.06,43.33,29.93,18.27,17.08,13.83
Albania,42.11,41.99,35.08,18.02,16.98,47.41,6.08,8.84,10.56,8.56,7.96,10.44
El Salvador,18.2,20.95,25.32,24.03,18.89,21.29,24.69,24.11,21.87,21.35,16.01,13.68
Macao,,,,,,,5.34,4.28,1.93,1.57,1.44,0.93
Czechia,,,,,18.61,4.39,14.42,23.32,24.17,23.08,23.92,24.29
Kiribati,54.88,60.74,36.68,26.49,15.95,,,8.11,11.94,17.39,12.67,27.61
Uzbekistan,,,,,,,,64.74,59.0,57.26,49.29,42.31
