Country,1991-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2016,2017-2019
Barbados,16.72,13.3,12.34,9.89,10.95,10.13,8.2
French Guiana,21.15,31.38,29.48,30.23,25.71,25.2,
Lebanon,,,9.51,10.27,,,14.35
Bahrain,,,,,3.78,,
Costa Rica,7.27,7.36,8.35,7.66,10.97,11.1,12.51
Philippines,10.77,9.15,3.98,4.05,3.79,3.26,2.64
Paraguay,5.96,6.82,8.68,6.47,5.7,6.13,7.08
Nicaragua,,4.32,7.16,5.64,5.59,5.07,4.35
Cyprus,4.23,6.29,5.16,4.92,10.06,14.38,9.33
Falkland Islands (Malvinas),,,,,1.43,1.09,
Singapore,3.03,4.07,6.06,5.05,4.32,4.18,3.9
gbm,2.93,0.78,0.6,1.35,2.24,1.76,
Japan,3.02,4.44,4.66,4.08,4.13,3.1,2.37
Mongolia,6.7,,6.3,6.15,4.58,4.86,6.45
Denmark,8.38,5.51,5.2,4.62,7.46,6.68,5.56
Côte d'Ivoire,,,,,6.22,3.36,3.87
Lithuania,13.94,12.91,11.4,6.52,12.37,8.01,5.53
Estonia,7.29,10.88,8.7,6.2,10.74,6.34,5.15
American Samoa,,6.01,,,,,
Netherlands,8.46,4.16,4.66,5.18,6.12,7.18,4.19
