Country,2006-2007,2008-2009,2010-2010,2011-2011,2012-2012,2013-2013,2014-2014,2015-2015,2016-2016,2017-2017,2018-2018,2019-2019
Australia,2.7,2.44,2.63,2.89,3.11,3.18,3.8,3.55,3.6,3.72,3.89,3.81
United States,2.96,4.84,6.24,6.09,5.57,4.99,4.18,3.6,3.3,3.06,2.73,2.68
Honduras,0.62,0.43,1.29,1.2,,,,,,1.44,1.18,
Gabon,,,6.01,,,,,,,,,
Latvia,4.86,7.88,13.03,12.97,13.78,9.85,8.54,7.33,7.09,7.11,6.77,6.05
Lebanon,6.38,,,,,,,,,,,6.13
New Caledonia,,,,,,,3.85,,,,,
Northern Mariana Islands,,,,,,,,,,,,
Malawi,,,,1.38,,3.45,,,,5.13,,
Papua New Guinea,,,0.95,,,,,,,,,
Oman,,,,,,,,,,,,
Singapore,3.64,3.92,2.63,3.14,3.12,2.99,2.84,3.02,3.52,,,
Saudi Arabia,,1.37,,,,,,,0.72,,,
Dominican Republic,1.18,1.16,2.12,0.63,1.73,2.1,2.05,1.79,2.42,1.03,0.85,1.27
Tajikistan,,4.23,,,,,,,,,,
Grenada,,,,,,,,,,,,
Hong Kong,3.62,2.89,2.76,2.02,1.91,2.85,2.71,2.55,2.47,2.7,2.03,1.98
Croatia,4.56,4.89,5.5,6.39,9.61,7.36,10.81,10.63,7.45,7.92,4.16,4.23
Anguilla,,,,,,,,,,,,
Kuwait,,,,,,,,0.76,4.71,,,
Botswana,4.91,6.01,6.23,,,,,,,,,17.33
French Polynesia,0.7,,,,,,,,,,,
Thailand,0.25,0.17,0.05,0.14,0.05,,0.04,0.02,0.02,0.04,0.09,0.06
Nigeria,,,,1.14,,,,,,,,2.39
