Country,1991-1997,1998-2001,2002-2005,2006-2009,2010-2013,2014-2016,2017-2019
Slovakia,11.3,16.85,17.21,10.48,13.83,10.64,6.54
Malawi,,,1.12,,3.32,,3.85
Afghanistan,,,,2.65,1.36,7.2,10.37
Morocco,16.2,14.47,11.06,9.4,8.78,9.14,
Lebanon,,,7.34,6.81,,,9.97
Norway,5.3,3.56,4.38,3.07,3.65,4.54,4.19
North Macedonia,30.0,31.1,35.47,33.78,31.02,26.24,20.17
Saint Vincent and the Grenadines,18.45,22.6,,,,,
Zambia,15.6,13.56,,8.14,,,11.34
Kiribati,,,12.25,,27.63,11.87,8.54
Belize,10.16,8.47,7.4,6.03,5.82,4.86,5.23
Samoa,,4.42,,1.13,6.54,7.8,10.61
"Venezuela, Bolivarian Republic of",9.64,10.14,12.96,6.9,6.73,5.26,4.5
"Taiwan, Province of China",2.24,3.67,5.14,4.76,4.87,4.17,3.91
Lithuania,14.31,16.94,11.05,8.3,16.84,10.46,7.47
Germany,7.26,8.32,10.38,8.59,6.11,4.9,3.8
Eswatini,20.22,,,,,21.03,
Estonia,8.38,12.85,11.06,8.51,13.08,7.17,5.22
Bahrain,,,,,0.45,,
Ireland,12.3,5.5,4.73,8.06,16.82,10.81,6.01
Algeria,23.51,29.78,20.48,8.57,8.66,9.02,10.77
Seychelles,,,6.1,,3.76,3.67,3.61
Benin,,,0.93,,1.68,,1.24
France,9.68,9.06,7.81,7.63,9.17,10.51,8.96
Brazil,5.88,7.77,7.48,6.13,5.49,7.65,10.78
Equatorial Guinea,,,,,,,
South Africa,,23.51,25.59,21.42,22.8,23.63,25.71
Haiti,,6.2,,14.9,11.5,,
Myanmar,,,,,,0.67,0.8
