Country,1991-1998,1999-2003,2004-2008,2009-2013,2014-2018,2019-2022
kos,,57.27,59.52,44.96,35.49,26.7
Belize,19.54,17.0,15.05,12.59,11.51,14.36
Saudi Arabia,,10.13,14.02,18.64,21.33,19.11
Kenya,,13.34,10.13,9.4,2.94,6.41
Nauru,,29.65,,21.73,,5.23
Seychelles,,,4.9,4.48,3.95,3.15
Namibia,22.23,21.6,24.99,21.2,21.32,
Switzerland,3.69,3.54,4.61,4.83,5.01,4.9
gbm,2.93,0.65,1.11,2.24,1.76,
Honduras,4.21,4.83,5.44,5.71,8.37,10.48
El Salvador,6.01,4.11,3.97,3.83,3.64,4.46
Mauritius,13.63,10.93,14.44,11.95,10.29,9.24
Comoros,,,4.89,,10.44,6.52
"Moldova, Republic of",,6.55,3.21,1.97,1.16,0.83
Iraq,,,7.44,12.42,25.03,28.31
Morocco,24.68,12.87,10.36,9.7,10.44,16.93
Japan,3.25,4.74,4.04,4.26,2.84,2.41
United Arab Emirates,2.35,2.71,7.06,,5.7,6.08
Turkmenistan,,,,2.05,,
Senegal,,,13.64,3.05,5.23,3.18
Norway,5.14,3.63,3.24,2.88,3.68,3.68
Guinea,,3.55,,,,5.06
Syrian Arab Republic,14.12,21.44,24.55,22.14,,
Chile,7.98,12.27,12.01,9.44,7.52,9.43
