Country,1991-1996,1997-2002,2003-2007,2008-2012,2013-2017,2018-2022
Croatia,10.41,13.61,12.31,11.84,15.04,7.44
Saint Lucia,16.49,19.41,18.37,16.5,20.67,19.32
San Marino,4.42,3.58,1.87,4.66,6.88,6.77
Chile,5.34,9.44,9.34,8.54,6.56,8.72
Bosnia and Herzegovina,17.55,16.1,30.05,26.08,25.73,15.5
nld_curacao,,,,9.78,12.45,16.25
Denmark,8.45,4.75,4.63,6.68,6.48,5.05
Mali,,3.3,10.23,7.48,5.85,2.57
Burundi,,14.0,3.18,1.63,1.57,1.03
Malaysia,2.79,3.18,3.48,3.3,3.2,3.93
Sierra Leone,,,3.65,,4.68,3.19
Slovakia,12.58,16.11,15.32,12.7,11.02,6.41
Georgia,2.4,11.32,12.96,19.61,16.78,11.99
Marshall Islands,,,25.37,4.74,,8.08
Gibraltar,6.44,,,,,
