Country,1991-1994,1995-1998,1999-2002,2003-2006,2007-2010,2011-2014,2015-2017,2018-2020,2021-2023
Sri Lanka,46.27,40.03,32.96,36.05,26.57,24.26,25.4,30.05,32.86
Uzbekistan,14.45,35.55,36.94,22.72,14.56,12.09,13.47,17.85,19.17
Eswatini,44.3,49.3,55.2,58.63,59.0,53.29,50.21,58.76,66.61
Kyrgyzstan,2.63,3.49,4.33,5.14,6.02,7.17,8.54,9.87,9.13
Malawi,7.15,6.96,7.16,7.01,6.84,7.02,7.12,7.49,7.42
Belarus,9.2,26.86,17.47,13.47,9.85,8.9,8.19,8.66,9.72
Romania,26.65,20.97,17.71,19.44,19.92,23.95,21.29,16.78,22.4
Estonia,9.27,15.02,24.42,21.19,17.45,17.21,10.98,13.98,15.78
Ireland,20.87,14.7,6.74,7.42,13.91,22.13,14.17,12.82,11.68
Cuba,21.49,19.75,12.51,4.46,4.01,7.19,4.52,3.23,2.72
Bulgaria,24.5,22.26,30.68,22.29,15.32,24.79,17.22,11.3,12.73
Thailand,3.49,3.36,6.71,4.95,4.69,3.17,4.8,5.48,7.53
United States,12.36,10.95,9.74,10.5,12.77,14.09,9.25,9.92,7.8
Jordan,57.6,50.96,45.35,52.63,56.42,48.59,52.05,50.26,49.57
South Sudan,17.12,16.98,17.06,17.18,17.32,17.77,18.11,18.79,17.97
Syrian Arab Republic,15.72,22.38,32.97,36.93,45.27,51.21,54.58,54.4,53.52
Brunei Darussalam,18.0,18.66,18.91,20.23,22.59,25.17,28.62,30.3,22.43
Madagascar,7.2,7.09,6.88,4.58,4.33,2.15,3.27,4.7,5.78
Australia,16.84,14.46,11.91,10.49,9.83,11.39,11.59,11.46,8.19
Equatorial Guinea,15.49,16.22,16.91,16.95,16.81,17.04,17.31,17.94,18.32
Bahamas,27.73,26.99,20.07,24.55,26.05,33.58,30.65,29.71,28.58
Costa Rica,10.85,15.59,16.19,19.72,17.94,27.9,26.76,39.0,37.29
Sierra Leone,6.93,6.87,6.72,4.5,4.75,5.64,4.39,2.64,2.6
