Country,1996-2000,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Saint Lucia,63.45,62.2,72.28,72.07,69.8,70.44,64.95,61.35
Armenia,24.41,25.44,21.31,16.2,24.26,25.12,32.9,40.1
Guam,,50.48,47.92,51.43,51.17,,57.14,54.43
Lebanon,27.74,25.21,29.97,29.84,29.58,27.75,26.29,25.44
Fiji,36.72,38.39,30.13,14.79,13.3,36.29,39.95,35.43
Israel,59.31,59.17,61.22,58.43,60.56,64.04,59.91,59.42
Sao Tome and Principe,50.66,46.46,43.59,43.81,46.17,48.93,46.27,51.05
Singapore,44.19,42.12,35.1,32.05,40.85,35.47,35.06,36.23
Nigeria,11.44,21.34,20.83,19.69,23.94,28.74,30.21,26.09
Paraguay,30.41,26.9,31.25,36.35,37.56,37.11,38.31,38.97
Pakistan,15.95,9.52,15.54,18.1,18.31,22.33,20.47,19.65
Ghana,36.71,45.08,53.04,56.5,56.49,57.8,58.61,56.04
Serbia,12.45,38.56,43.27,51.1,51.49,47.95,39.14,36.39
Comoros,18.78,24.12,26.92,29.53,27.7,30.38,26.98,19.48
United Kingdom,74.75,80.89,85.42,82.54,84.66,81.77,85.56,79.71
Bangladesh,34.22,24.46,25.96,31.42,29.73,26.11,22.57,21.58
Saint Kitts and Nevis,62.29,56.99,71.31,69.2,69.8,67.98,64.31,59.26
