Country,1996-2002,2003-2006,2007-2010,2011-2013,2014-2016,2017-2019,2020-2022
Saint Vincent and the Grenadines,0.35,0.27,0.23,0.24,0.23,0.22,0.22
Greenland,,,0.28,0.24,0.28,0.27,0.25
Honduras,0.19,0.15,0.12,0.12,0.13,0.13,0.13
Israel,0.2,0.17,0.15,0.14,0.15,0.15,0.15
"Virgin Islands, U.S.",,0.4,0.5,0.45,,,
South Sudan,,,,0.17,0.15,0.15,0.15
Ireland,0.2,0.17,0.15,0.14,0.15,0.15,0.11
Norway,0.2,0.17,0.15,0.13,0.14,0.14,0.14
Trinidad and Tobago,0.21,0.18,0.15,0.15,0.15,0.14,0.13
Grenada,0.29,0.25,0.23,0.24,0.23,0.22,0.22
Mexico,0.19,0.15,0.12,0.11,0.13,0.12,0.13
Tunisia,0.19,0.14,0.11,0.11,0.12,0.12,0.12
Lesotho,0.25,0.2,0.14,0.13,0.13,0.13,0.13
Liechtenstein,0.29,0.26,0.21,0.17,0.18,0.18,0.17
"Micronesia, Federated States of",0.35,0.28,0.23,0.24,0.25,0.25,0.24
Botswana,0.2,0.14,0.13,0.12,0.12,0.12,0.12
Burundi,0.23,0.17,0.14,0.13,0.13,0.13,0.13
Bermuda,0.45,0.4,0.5,0.45,,,
Andorra,0.29,0.26,0.23,0.23,0.23,0.24,0.24
United Kingdom,0.2,0.17,0.15,0.13,0.14,0.12,0.14
