Country,1991-1994,1995-1998,1999-2001,2002-2004,2005-2007,2008-2010,2011-2013,2014-2016,2017-2019,2020-2022
Mexico,58.87,60.02,63.61,62.87,64.76,65.27,65.71,67.32,67.93,68.71
Lesotho,58.22,58.84,59.9,60.73,61.26,61.54,62.18,63.45,64.69,65.29
Peru,28.1,29.83,31.81,32.65,35.79,38.08,40.59,42.05,41.81,40.0
Sudan,28.3,28.75,27.83,26.93,27.51,28.46,26.13,28.66,31.55,33.07
Kenya,19.14,19.32,19.98,21.51,21.84,22.88,24.42,26.2,28.35,29.34
Algeria,57.39,57.72,59.78,65.66,70.33,72.9,74.05,74.05,74.25,73.93
Croatia,71.86,73.85,77.91,77.47,78.46,80.18,81.82,88.26,90.2,91.0
Sweden,93.1,93.28,93.93,94.44,94.22,93.81,93.95,93.82,94.3,94.0
Jamaica,62.76,65.63,65.09,67.13,67.32,66.4,67.26,67.15,67.35,67.55
Slovenia,87.18,85.18,85.75,87.5,86.55,87.09,86.54,86.46,88.91,90.13
Guinea,1.93,2.03,2.25,2.66,3.51,4.55,5.75,7.27,8.99,10.19
Brazil,65.56,67.3,66.53,65.53,66.37,69.66,74.71,75.63,73.62,72.61
United Kingdom,91.83,92.14,92.37,92.27,91.94,91.41,90.4,89.4,88.99,88.74
Australia,86.13,86.83,88.59,87.55,89.44,90.28,89.59,90.13,90.12,89.62
Japan,77.82,80.76,82.92,85.03,86.79,88.54,89.75,90.65,91.58,91.84
Switzerland,83.67,84.16,84.97,85.98,86.39,86.93,86.99,87.04,87.43,86.82
Cuba,93.79,93.28,90.57,89.17,89.72,90.41,84.01,80.62,79.54,78.95
South Sudan,0.68,0.65,0.64,0.67,0.73,0.92,1.36,2.14,4.11,4.98
Guatemala,42.09,42.16,42.14,39.95,41.94,43.24,48.26,51.89,53.29,48.91
Papua New Guinea,10.43,10.45,10.8,11.19,11.64,12.05,12.52,13.21,14.27,14.98
Togo,3.25,3.33,3.7,4.24,5.63,9.16,12.98,14.87,15.94,16.62
Syrian Arab Republic,40.25,41.74,45.83,56.51,68.06,75.36,84.02,86.67,89.33,90.72
Puerto Rico,90.53,90.86,91.35,91.06,90.8,90.87,90.22,89.69,89.52,89.48
Norway,93.36,94.28,95.08,95.7,95.35,95.43,95.82,95.5,95.68,96.46
Portugal,75.16,73.54,74.29,74.95,76.61,78.5,82.57,85.96,87.27,87.85
chanisl,86.65,87.12,87.65,88.03,88.41,88.58,88.57,88.67,88.86,88.87
